Date,Time,Weather (exact air temp):,Water Temp:,DO,pH,Salinity,# student seiners (12+),# of visitors (Public Seine),Instructors/ Seine Staff:,# Hauls,Scientific Name,Common Name,Quantity,# Brought to Ed Center,"Other info (Gender, Length, Dead/Alive, other physical description)"
,,,,,,,,,,,,Shore Shrimp,5,1,
,,,,,,,,,,,,Mud Snail,6,,
,,,,,,,,,,,,Mussel,1,,
,,,,,,,,,,,,Cunner,1,,
,,,,,,,,,,,,Sea Robin,1,1,
,,,,,,,,,,,,Porgy,1,1,
,,,,,,,,,,,,Northern Pipefish,1,1,
,,,,,,,,,,,,Lady Crab,1,1,
,,,,,,,,,,,,Blue Crab,1,,
,,,,,,,,,,,,Winter Flounder,1,,
,,,,,,,,,,,,Northern Kingfish,1,1,
,,,,,,,,,,,,Comb Jelly ,25,,
,,,,,,,,,,,,Black Sea Bass,10,,Line fishing Pier 5
,,,,,,,,,,,,Porgies,2,,Line Fishing Pier 5
,,,,,,,,,,,,Comb Jelly ,50,,?
9/18/16,4:00PM - 7:00PM,82 F,?,?,?,?,?,?,Peter Park,?,Centropristis Striata,Black Sea Bass,2,1,
,,,,,,,,,,,Tautogolabrus Molspersus,Cunner,1,,
,,,,,,,,,,,Stenuotomus Chrysops,Porgy,3,,
,,,,,,,,,,,Menidia Menidia,Atlantic Silverside,7,,
,,,,,,,,,,,Bairdiella Chrysoura,SIlver Perch,1,1,did not keep / died
,,,,,,,,,,,Brevoortia Tyrannus,Atlantic Menhaden,6,,
,,,,,,,,,,,Tautoga Onitis,Tautog,1,,
,,,,,,,,,,,Morone Saxatilis,Striped Bass,1,,
,,,,,,,,,,,?,Comb Jelly ,Too Many To Count,,
,,,,,,,,,,,Hemigrapsus Sanguineus,Asian Shore Crab,Did Not Count,,got by moving rocks
,,,,,,,,,,,Callinectes Sapidus,Blue Crab,1,,
9/18/16,7:00PM - 9:30PM,82 F,?,?,?,?,?,?,Peter,?,Minidia Menidia,AtlanticSilverside,22,,
,,,,,,,,,,,Gobiosoma Ginsburgi,Seaboard Goby,1,1,
,,,,,,,,,,,Libinia Emarginata,Common Spider Crab,1,,
,,,,,,,,,,,Ilyanassa Obsolete,Mud Snail,1,,
,,,,,,,,,,,?,Comb Jelly ,Too Many To Count,,
,,,,,,,,,,,Opsanus Tau,Oyster Toadfish,2,,Caught by fishermen
,,,,,,,,,,,Centropristis Striata,Black Sea Bass,4,,Caught by fishermen
,,,,,,,,,,,Morone Saxatilis,Striped Bass,2,,Caught by fishermen
9/19/16,7:00AM -10:00AM,76 F,74.3 F,?,?,26 ppt,?,?,Peter,?,Morone Saxatilis,Striped Bass,1,,Traps on Rock Island
,,,,,,,,,,,Prictictus Carolinus,Northern Sea Robin,1,,
,,,,,,,,,,,Anchoa Mitchilli,Bay Anchovy,12,,
,,,,,,,,,,,Menidia Menidia,Atlantic Silverside,21,,
,,,,,,,,,,,Brevoortia Tyrannus,Atlantic Menhaden,32,,
,,,,,,,,,,,Carcinus Maenas,Green Crab,4,,Traps on Rock Island
,,,,,,,,,,,Palaemanetes spp,Shore Shrimp,3,?,Traps on Rock Island
,,,,,,,,,,,Callinectes Sapidus,Blue Crab,2,,
,,,,,,,,,,,?,Comb Jelly ,Too Many To Count,,
,,,,,,,,,,,Ilyanassa Obsolete,Mud Snail,23,,Traps on Rock Island
9/19/16,10:00AM-12:30PM,76 F,74 F,?,?,25 ppt,?,?,"Park, Phillips",?,Anguilla Rostrata,American Eel,1,,Pilings
,,,,,,,,,,,Ilyanassa Obsolete,Mud Snail,63,,"Pilings: 56,  Oyster Garden Area: 6, Near Ferry: 1"
,,,,,,,,,,,Urosalpinx Cinerea,Oyster Drill,1,,Pilings
,,,,,,,,,,,Hemigrapsus Sanguineus,Asian Shore Crab,1,,Pilings
,,,,,,,,,,,Microciona Priolifera,Red Beard Sponge,1,,Pilings
,,,,,,,,,,,Crassostrea Virginica,Eastern Oyster,Too Many To Count,,Oyster Garden Area
,,,,,,,,,,,Centropristis Striata,Black Sea Bass,1,,Oyster Garden Area
,,,,,,,,,,,Stenuotomus Chrysops,Porgy,1,,Oyster Garden Area
,,,,,,,,,,,Libinia Emarginata,Spider Crab,1,,Oyster Garden Area
,,,,,,,,,,,?,Comb Jelly ,Too Many To Count,,Oyster Garden Area
,,,,,,,,,,,Centropristis Striata,Black Sea Bass,3,,Near Ferry
,,,,,,,,,,,Palaemanetes spp,Shore Shrimp,2,,Near Ferry
,,,,,,,,,,,Neopanopeus Sayi,Black Fingered Mud Crab,2,,Oyster Garden Area
,,,,,,,,,,,?,Star Tunicate,Too Many To Count,,Oyster Garden Area
,,,,,,,,,,,Molgula spp.,Tunicates,Too Many To Count,,Oyster Garden Area
,,,,,,,,,,,Nereis spp.,Sandworm,1,,Oyster Garden Area
,,,,,,,,,,,Gemmarus spp.,Amphipods,Too Many To Count,,Oyster Garden Area
,,,,,,,,,,,Callinectes Sapidus,Blue Crab,1,,Oyster Garden Area
,,,,,,,,,,,Gobiosoma Bose,Naked Goby,1,,Oyster Garden Area
9/19/16,1:00PM - 4:30PM,76 F,?,?,?,?,?,?,"Park, Hopson",?,Tautogolabrus Adspersus,Cunner,1,,
,,,,,,,,,,,Menidia Menidia,Atlantic Silverside,21,,"Main Street Beach: 3, EFF Beach: 18"
,,,,,,,,,,,Menticirrhus Saxatilis,Northern Kingfish,2,,"Main Street Beach: 1, EFF Beach: 1"
,,,,,,,,,,,Anchoa Mitchilli,Bay Anchovy,3,,EFF Beach
,,,,,,,,,,,Emerita Talpoida,Mole crab,1,,EFF Beach
,,,,,,,,,,,?,Comb Jelly ,Too Many To Count,,EFF Beach
9/25/16,10:00AM - 11:40AM,64 F,65 F,4,7,?,None,30,"Cynthia Fowx, Hopson, Phillips",15+,,Mud Snail,4,,
,,,,,,,,,,,,Cunner,1,,
,,,,,,,,,,,,Comb Jelly ,Too Many To Count,,
,,,,,,,,,,,,Bay Anchovy,1,,dead
,,,,,,,,,,,,Silverside,10,,
,,,,,,,,,,,,Blue Mussels,2,,
,,,,,,,,,,,,Asian Shore Crabs ,2,,
,,,,,,,,,,,,Mud Crab,1,,
,,,,,,,,,,,,Blue Crab,1,,
,,,,,,,,,,,,Winter Flounder,1,,
