Date,Time,Weather (exact air temp):,Water Temp:,DO,pH,Salinity,#of Participants,Instructors/Staff:,Scientific Name,Common Name,Quantity,Other info (Dead/Alive)
,,,,,,,,,Tautoga onitis,Tautog/Blackfish,1,Alive
,,,,,,,,,Hemigraspus sanguineus,Asian shore crab,8,Alive
,,,,,,,,,Urosalpinx cinerea,Oyster Drill,1,Alive
,,,,,,,,,Brevoortia  tyrannus,Menhaden,5,Alive
10/15/2015,4-6 PM,64 F,66 F,4,7,30,31,"Isa, Shellita, Kathy Nolan",Pleuronectes Americanus,Winter Flounder (right+eye),3,Alive
,,,,,,,,,Tautoga onitis,Blackfish/ Tautog ,1,Alive
,,,,,,,,,Morone saxatilis,Striped Bass ,1,Alive 
,,,,,,,,,Ctenophora,Comb Jelly,6,Alive 
,,,,,,,,,Palaemonetes,Common Shore Shrimp,1,ALive
,,,,,,,,,Calamus penna,Sheepshead Porgy,1,Alive
,,,,,,,,,Mytilus edulis,Blue Mussel,8,Alive 
