Date,Time,Weather & Air Temp:,Water Temp:,Tide Times,Tide is moving,DO,pH,Salinity,Turbidity,# student seiners (CLASSES ONLY),# of visitors (Public Seine ONLY),Instructors/ Seine Staff:,# Hauls,Common Name,Quantity,# Brought to Ed Center,"Other info (Gender, Length, Dead/Alive, other physical description)",NOTES FROM SEINEING SEASON:
,,,,,,,,,,,,,,,,,,
6/18/17,9:30 AM- 11:00 AM,77 F/ Sunny,70 F,"High Tide: 3:05 AM, Low Tide: 10:04 AM",OUT/IN,4,7,27,Did not perform,N/A,9,"Peter Park, 11 seiners",15,Comb Jelly,20 +,,,
,,,,,,,,,,,,,,Blueback Herring,23,,,
,,,,,,,,,,,,,,mud snail,2,,,"During several seines throughtout the summer, many YOY clupeid species were caught and difficult to identify. In a lab, one fish was identified as American Shad, the other as Blueback Herring. The two species are very difficult to distinguish unless opened up to observe the peritoneum.                             Species with an astirik * are listed with best educated guess, but not certainty."
,,,,,,,,,,,,,,Lady Crab,1,,,
,,,,,,,,,,,,,,glass shrimp,1,,,
,,,,,,,,,,,,,,asian shore crab,2,,,
,,,,,,,,,,,,,,sand shrimp,1,,,
,,,,,,,,,,,,,,moon jelly,1,,,
,,,,,,,,,,,,,,,,,,
6/25/17,4:00 PM- 5:00 PM,80 F/ Sun with clouds,Did not perform,"High Tide: 10:35 PM, Low Tide: 4:12 PM",OUT,did not perform,did not perform,did not perform,did not perform,N/A,30?,"Cynthia, Haley, Laura, Sarah, Isa",18,sand shrimp,25,1,alive,
,,,,,,,,,,,,,,winter flounder,2,,alive,
,,,,,,,,,,,,,,comb jelly,5,,,
,,,,,,,,,,,,,,mud crab,1,,,
,,,,,,,,,,,,,,Blue Crab,1,,alive,
,,,,,,,,,,,,,,herring,1,,"wasn't doing well, let go before proper ID",
,,,,,,,,,,,,,,,,,,"During several seines throughtout the summer, many YOY clupeid species were caught and difficult to identify. In a lab, one fish was identified as American Shad, the other as Blueback Herring. The two species are very difficult to distinguish unless opened up to observe the peritoneum.                             Species with an astirik * are listed with best educated guess, but not certainty."
07/06/17,11:30 AM,84 F / Cloudy,78 F ,High Tide: 7:47AM Low Tide: 1:25AM,OUT,6,7.8,21,"20 cm , 30 NTU",N/A,N/A                           Tank Stocking Day,"Haley, Christina, Isa, Eliza, Shad",12+,Comb jellies ,TMTC,,An extreme amount of jellies and red algae!!,
,,,,,,,,,,,,,,Oyster toad fish ,1,1,,
,,,,,,,,,,,,,,Tautog,1,1,,
,,,,,,,,,,,,,,YOY herring,4,0,,
,,,,,,,,,,,,,,Mud snail ,3,3,,
,,,,,,,,,,,,,,Oyster drill snail,2,2,,
,,,,,,,,,,,,,,Menhaden,1,0,,
,,,,,,,,,,,,,,Shore shrimp,1,1,,
,,,,,,,,,,,,,,,,,,
07/15/17 CITY OF WATER DAY,6:00 PM,"85 F, Sunny",75 F,High Tide: 1:45 PM Low Tide: 8:00 PM,OUT,6,7.5,26,20 NTU,N/A,34,"Cynthia, Volunteer, Eliza, Laura, Ethan, CMT",11,Alewife,5,,Alive,
,,,,,,,,,,,,,,Blue Crab,1,1,Female,
,,,,,,,,,,,,,,Comb Jelly,TMTC,,,
,,,,,,,,,,,,,,Shore Shrimp,2,1,pugio,
,,,,,,,,,,,,,,Moon Jelly,2,,,
,,,,,,,,,,,,,,Blue Fish,1,,,
,,,,,,,,,,,,,,Atlantic Silverside,5,5,,
,,,,,,,,,,,,,,American Eel,,,line catch,
,,,,,,,,,,,,,,Tautog,,1,line catch,
,,,,,,,,,,,,,,Black Sea Bass,,1,line catch,
,,,,,,,,,,,,,,Cunner,,1,line catch,
,,,,,,,,,,,,,,Tunicate /Sponge,1 colony,,,
,,,,,,,,,,,,,,Sea Squirt,1,,,
,,,,,,,,,,,,,,YOY Striped Bass,5,5,,
,,,,,,,,,,,,,,,,,,
7/19/17,10:30 AM,76 F,82 F,High Tide: 5:32 AM Low Tide: 11:23AM,OUT,"3,4 (2 TESTS)",7 (4 TESTS),"23,24,20,28 AVERAGE: 24 ",10 NTU?,St. Francis 20 seiners,N/A,"Laura, Eliza, Zebeda, Shad, Isa",unknown ,Blue crab,5,1 for ENE,"All male, largest was 4+ inches carpace, 8 inch claw to claw",
,,,,,,,,,,,,,,Silverside,4,3,,
,,,,,,,,,,,,,,Asian shore crab,1,,,
,,,,,,,,,,,,,,Stripped Bass,9,7,"most YOY, 1 Large",
,,,,,,,,,,,,,,Winter Flounder ,1,1,,
,,,,,,,,,,,,,,Oyster Drills,8 +,ALL,,
,,,,,,,,,,,,,,Muslces,1,,,
,,,,,,,,,,,,,,Comb Jellys,50+,,,
,,,,,,,,,,,,,,Moon Jellys,2,,,
,,,,,,,,,,,,,,Atlantic Tomcod,1,1,,
,,,,,,,,,,,,,,Shore Shrimp,3,3,,
,,,,,,,,,,,,,,Sand Shrimp,1,1,,
,,,,,,,,,,,,,,Sandworm,1,,,
,,,,,,,,,,,,,,Mud Snails,2,2,,
7/22/17,Start: 1:30PM   End:2:30PM,88F Sunny,76F,High tide: 8:37 PM  Low tide: 2:10PM,IN,5,7.57,21 ppt,,N/A,49,"Isa, Cythia, Manny, Ethan, Bob",unknown,Blue crab,2,,F- 4 in carapace     m about 1 in,
,,,,,,,,,,,,,,Asian shore crab,1,,carapace width 1 inch ,
,,,,,,,,,,,,,,Stripped Bass,1,,yoy,
,,,,,,,,,,,,,,YOY Herring,8,,1 Shad confrimed (dissected/dead) (several died from heat) ,
,,,,,,,,,,,,,,Winter Flounder ,1,1,,
,,,,,,,,,,,,,,Silversides,2,2,,
,,,,,,,,,,,,,,Shore Shrimp,2,2,,
,,,,,,,,,,,,,,Sand Shrimp,1,1,,
,,,,,,,,,,,,,,,,,,
8/2/17,Start: 10:00 AM End: 2:30 PM,84 F Partly Cloudy,75F,High tide: 6:13 PM  Low Tide: 11:25 AM,OUT,6,7.7,22 ppt,37 cm,students too young ,N/A,"Christina, Shad, Eliza, Isa, Zebeda",12,Blue Crab,1,0,~ 3cm,
,,,,,,,,,,,,,,Striped Bass,9,1,"largest ~ 7 inches, 18 cm smallest ~ 3-4 cm, 6 cm medium",
,,,,,,,,,,,,,,Silverside,2,2,6 cm,
,,,,,,,,,,,,,,Comb Jelly,TMTC,0,50 +,
,,,,,,,,,,,,,,Moon Jelly,12,0,,
,,,,,,,,,,,,,,,,,,
08/05/17 GREAT FISH COUNT,Unknown,73 F ,75 F,"High tide: 8:17 PM, Low Tide: 1:45 PM",OUT,6,7.5,22,35 cm,N/A,108,"Peter Park, Isa, Eliza, Kathy (vol), Shelieta & brother, 2 SA (10 seiners total)",17,tautog,3,,up to 4.5 inches,
,,,,,,,,,,,,,,Cunner (YOY),1,,,
,,,,,,,,,,,,,,winter flounder,4,2,up to 6.25 inches,
,,,,,,,,,,,,,,blueback herring (YOY),34,,all from south beach,
,,,,,,,,,,,,,,Alewife,1,peter took to ID,,
,,,,,,,,,,,,,,Northern Kingfish (YOY),1,1,2.5 inches,
,,,,,,,,,,,,,,Northern Pipefish ,1,1,,
,,,,,,,,,,,,,,Blue Crab,2,,,
,,,,,,,,,,,,,,Shore Shrimp,3,3,,
,,,,,,,,,,,,,,Sand Shrimp,1,1,,
,,,,,,,,,,,,,,Striped Bass (YOY),7,,,
,,,,,,,,,,,,,,Moon Jelly ,3,,,
,,,,,,,,,,,,,,Comb Jelly,TMTC,,,
,,,,,,,,,,,,,,Oysters,43,2,"Found along beach, mostly 7 inches long",
,,,,,,,,,,,,,,Clams,8,2,Found along beach,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
8/20/17,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
9/17/17,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,Traps on Rock Island,
,,,,,,,,,,,,,,,,?,Traps on Rock Island,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,Traps on Rock Island,
,,,,,,,,,,,,,,,,,Pilings,
,,,,,,,,,,,,,,,,,"Pilings: 56,  Oyster Garden Area: 6, Near Ferry: 1",
,,,,,,,,,,,,,,,,,Pilings,
,,,,,,,,,,,,,,,,,Pilings,
,,,,,,,,,,,,,,,,,Pilings,
,,,,,,,,,,,,,,,,,Oyster Garden Area,
,,,,,,,,,,,,,,,,,Oyster Garden Area,
,,,,,,,,,,,,,,,,,Oyster Garden Area,
,,,,,,,,,,,,,,,,,Oyster Garden Area,
,,,,,,,,,,,,,,,,,Oyster Garden Area,
,,,,,,,,,,,,,,,,,Near Ferry,
,,,,,,,,,,,,,,,,,Near Ferry,
,,,,,,,,,,,,,,,,,Oyster Garden Area,
,,,,,,,,,,,,,,,,,Oyster Garden Area,
,,,,,,,,,,,,,,,,,Oyster Garden Area,
,,,,,,,,,,,,,,,,,Oyster Garden Area,
,,,,,,,,,,,,,,,,,Oyster Garden Area,
,,,,,,,,,,,,,,,,,Oyster Garden Area,
,,,,,,,,,,,,,,,,,Oyster Garden Area,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,"Main Street Beach: 3, EFF Beach: 18",
,,,,,,,,,,,,,,,,,"Main Street Beach: 1, EFF Beach: 1",
,,,,,,,,,,,,,,,,,EFF Beach,
,,,,,,,,,,,,,,,,,EFF Beach,
,,,,,,,,,,,,,,,,,EFF Beach,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,dead,
