,Date,Time,Weather & Air Temp:,Water Temp:,Tide Times,Tide is moving,DO,pH,Salinity,Turbidity,# student seiners (CLASSES ONLY),# of visitors (Public Seine ONLY),Instructors/ Seine Staff:,# Hauls,Scientific Name,Common Name,Quantity,# Brought to Ed Center,"Other info (Gender, Length, Dead/Alive, other physical description)",NOTES FROM SEINEING SEASON:,Water Temp Probe,DO Probe,pH Probe,Salinity Probe,Turbidity (cm),Turbidity Probe (NTU),NOTES FROM SEINE:
72,2009-07-18,,,,,,,,,,,,,,,striped bass,,,,,,,,,,,
73,2009-07-18,,,,,,,,,,,,,,,northern pipefish,,,,,,,,,,,
74,2009-07-18,,,,,,,,,,,,,,,green crab,,,,,,,,,,,
75,2009-07-21,,,,,,,,,,,,,,,sand shrimp,,,,,,,,,,,
76,2009-07-21,,,,,,,,,,,,,,,shore shrimp,,,,,,,,,,,
77,2009-07-21,,,,,,,,,,,,,,,winter flounder,,,,,,,,,,,
78,2009-07-21,,,,,,,,,,,,,,,atlantic silverside,,,,,,,,,,,
79,2009-07-21,,,,,,,,,,,,,,,northern pipefish,,,,,,,,,,,
80,2009-07-21,,,,,,,,,,,,,,,comb jelly,,,,,,,,,,,
81,2009-07-21,,,,,,,,,,,,,,,snails,,,,,,,,,,,
82,2009-07-21,,,,,,,,,,,,,,,blue crab,,,,,,,,,,,
83,2009-07-21,,,,,,,,,,,,,,,green crab,,,,,,,,,,,
84,2009-07-21,,,,,,,,,,,,,,,hermit crab,,,,,,,,,,,
85,2009-07-21,,,,,,,,,,,,,,,lady crab,,,,,,,,,,,
86,2009-09-23,,,,,,,,,,,,,,,Lion's mane Jellyfish (Cyanea capillata),,,,,,,,,,,
87,2009-09-23,,,,,,,,,,,,,,,Green Crab (Carcinus maenas),,,,,,,,,,,
88,2009-09-23,,,,,,,,,,,,,,,Atlantic Silverside (Menidia menidia),,,,,,,,,,,
89,2009-09-23,,,,,,,,,,,,,,,Sea Horse (Hippocampus),,,,,,,,,,,
90,2009-09-23,,,,,,,,,,,,,,,Pipefish (Syngnathinae),,,,,,,,,,,
91,2010-06-12,,,,,,,,,,,,,,,Atlantic silverside,,,,,,,,,,,
92,2010-06-12,,,,,,,,,,,,,,,Atlantic tomcod,,,,,,,,,,,
93,2010-06-12,,,,,,,,,,,,,,,blue crab,,,,,,,,,,,
94,2010-06-12,,,,,,,,,,,,,,,bluefish,,,,,,,,,,,
95,2010-06-12,,,,,,,,,,,,,,,comb jellies,,,,,,,,,,,
96,2010-06-12,,,,,,,,,,,,,,,northern pipefish,,,,,,,,,,,
97,2010-06-12,,,,,,,,,,,,,,,red (lion's mane) jellyfish,,,dead,,,,,,,,
98,2010-06-12,,,,,,,,,,,,,,,shore shrimp,,,,,,,,,,,
99,2010-06-12,,,,,,,,,,,,,,,winter flounder,,,,,,,,,,,
100,2010-06-26,,,,,,,,,,,,,,,Comb jellies (ctenophores),,,,,,,,,,,
101,2010-06-26,,,,,,,,,,,,,,,true jellies,,,,,,,,,,,
102,2010-06-26,,,,,,,,,,,,,,,atlantic silverside,,,,,,,,,,,
103,2010-06-26,,,,,,,,,,,,,,,pipefish,,,,,,,,,,,
104,2010-06-26,,,,,,,,,,,,,,,glass shrimp,,,,,,,,,,,
105,2010-07-07,,,,,,,,,,,,,,,Atlantic silverslide,,,,,,,,,,,
106,2010-07-07,,,,,,,,,,,,,,,Comb jellies,,,,,,,,,,,
107,2010-07-08,,,,,,,,,,,,,,,sand shrimp,,,,,,,,,,,
108,2010-07-08,,,,,,,,,,,,,,,shore shrimp,,,,,,,,,,,
109,2010-07-08,,,,,,,,,,,,,,,winter flounder,,,,,,,,,,,
110,2010-07-08,,,,,,,,,,,,,,,striped bass,,,,,,,,,,,
111,2010-07-08,,,,,,,,,,,,,,,northern pipefish,,,,,,,,,,,
112,2010-07-08,,,,,,,,,,,,,,,blue crab,,,,,,,,,,,
113,2010-07-08,,,,,,,,,,,,,,,comb jellies,,,,,,,,,,,
114,2010-07-09,,,,,,,,,,,,,,,sand shrimp,,,,,,,,,,,
115,2010-07-09,,,,,,,,,,,,,,,striped bass,,,,,,,,,,,
116,2010-07-09,,,,,,,,,,,,,,,the cutest northern puffer ever!,,,,,,,,,,,
117,2010-07-09,,,,,,,,,,,,,,,northern pipefish,,,,,,,,,,,
118,2010-07-09,,,,,,,,,,,,,,,lady crab,,,,,,,,,,,
119,2010-07-09,,,,,,,,,,,,,,,winter flounder,,,,,,,,,,,
120,2010-07-09,,,,,,,,,,,,,,,Atlantic silverside,,,,,,,,,,,
121,2010-07-09,,,,,,,,,,,,,,,summer flounder,,,,,,,,,,,
122,2010-07-09,,,,,,,,,,,,,,,amphipod,,,,,,,,,,,
123,2010-07-09,,,,,,,,,,,,,,,hydromedusae,,,,,,,,,,,
124,2010-07-09,,,,,,,,,,,,,,,comb jellies,,,,,,,,,,,
125,2010-07-10,,,,,,,,,,,,,,,winter flounder,,,,,,,,,,,
126,2010-07-10,,,,,,,,,,,,,,,blue crab,,,,,,,,,,,
127,2010-07-10,,,,,,,,,,,,,,,sand shrimp,,,,,,,,,,,
128,2010-07-10,,,,,,,,,,,,,,,striped bass,,,,,,,,,,,
129,2010-07-10,,,,,,,,,,,,,,,Atlantic silverside,,,,,,,,,,,
130,2010-07-10,,,,,,,,,,,,,,,bluefish,,,,,,,,,,,
131,2010-07-10,,,,,,,,,,,,,,,comb jellies,,,,,,,,,,,
132,2010-07-10,,,,,,,,,,,,,,,northern pipefish,,,,,,,,,,,
133,2010-07-10,,,,,,,,,,,,,,,hydromedusae,,,,,,,,,,,
134,2010-07-10,,,,,,,,,,,,,,,amphipod,,,,,,,,,,,
135,2010-07-20,,,,,,,,,,,,,,,Atlantic Silversides,,,,,,,,,,,
136,2010-07-20,,,,,,,,,,,,,,,Blue Crab,,,,,,,,,,,
137,2010-07-20,,,,,,,,,,,,,,,Sand Shrimp,,,,,,,,,,,
138,2010-07-20,,,,,,,,,,,,,,,Ctenophore,,,,,,,,,,,
139,2010-07-20,,,,,,,,,,,,,,,Shore Shrimp,,,,,,,,,,,
140,2010-07-20,,,,,,,,,,,,,,,true jelly,,,,,,,,,,,
141,2010-07-20,,,,,,,,,,,,,,,comb jelly,,,,,,,,,,,
142,2010-07-20,,,,,,,,,,,,,,,snails,,,,,,,,,,,
143,2010-07-20,,,,,,,,,,,,,,,blue fish,,,,,,,,,,,
144,2010-07-21,,,,,,,,,,,,,,,Atlantic silverside,,,,,,,,,,,
145,2010-07-21,,,,,,,,,,,,,,,blue crab,,,,,,,,,,,
146,2010-07-21,,,,,,,,,,,,,,,comb jellies,,,,,,,,,,,
147,2010-07-21,,,,,,,,,,,,,,,true jellies,,,,,,,,,,,
148,2010-07-21,,,,,,,,,,,,,,,lion's mane jellyfish,,,dead,,,,,,,,
149,2010-07-21,,,,,,,,,,,,,,,sand shrimp,,,,,,,,,,,
150,2010-07-21,,,,,,,,,,,,,,,shore shrimp,,,,,,,,,,,
151,2010-07-21,,,,,,,,,,,,,,,snails,,,,,,,,,,,
152,2010-07-21,,,,,,,,,,,,,,,blue fish,,,,,,,,,,,
153,2010-07-21,,,,,,,,,,,,,,,flounder,,,,,,,,,,,
154,2010-07-21,,,,,,,,,,,,,,,northern pipefish,,,,,,,,,,,
155,2010-07-21,,,,,,,,,,,,,,,sea robin,,,,,,,,,,,
156,2010-07-21,,,,,,,,,,,,,,,oyster toad fish,,,,,,,,,,,
157,2010-07-22,,,,,,,,,,,,,,,blue crabs,,,,,,,,,,,
158,2010-07-22,,,,,,,,,,,,,,,amphipods,,,,,,,,,,,
159,2010-07-22,,,,,,,,,,,,,,,clam worm (probably Nereis spp.),,,,,,,,,,,
160,2010-07-22,,,,,,,,,,,,,,,hermit crab,,,,,,,,,,,
161,2010-07-22,,,,,,,,,,,,,,,sand shrimp,,,,,,,,,,,
162,2010-07-22,,,,,,,,,,,,,,,shore shrimp,,,,,,,,,,,
163,2010-07-22,,,,,,,,,,,,,,,comb jellies,,,,,,,,,,,
164,2010-07-22,,,,,,,,,,,,,,,hydromedusae,,,,,,,,,,,
165,2010-07-22,,,,,,,,,,,,,,,Atlantic silversides,,,,,,,,,,,
166,2010-07-22,,,,,,,,,,,,,,,winter flounder,,,,,,,,,,,
167,2010-07-22,,,,,,,,,,,,,,,norther pipefish,,,,,,,,,,,
168,2010-07-22,,,,,,,,,,,,,,,norther puffer,,,,,,,,,,,
169,2010-07-22,,,,,,,,,,,,,,,striped bass,,,,,,,,,,,
170,2010-07-24,,,,,,,,,,,,,,,northern kingfish,,,,,,,,,,,
171,2010-07-24,,,,,,,,,,,,,,,winter flounder,,,,,,,,,,,
172,2010-07-24,,,,,,,,,,,,,,,northern puffer,,,,,,,,,,,
173,2010-07-24,,,,,,,,,,,,,,,northern pipefish,,,,,,,,,,,
174,2010-07-24,,,,,,,,,,,,,,,striped bass,,,,,,,,,,,
175,2010-07-24,,,,,,,,,,,,,,,bluefish,,,,,,,,,,,
176,2010-07-24,,,,,,,,,,,,,,,Atlantic silverside,,,,,,,,,,,
177,2010-07-24,,,,,,,,,,,,,,,comb jellies,,,,,,,,,,,
178,2010-07-24,,,,,,,,,,,,,,,sand shrimp,,,,,,,,,,,
179,2010-07-24,,,,,,,,,,,,,,,blue crabs,,,,,,,,,,,
180,2010-07-24,,,,,,,,,,,,,,,sennet,,,"We also hauled the seine right into a small school of northern sennet, all of them 100-120 mm long.",,,,,,,,
181,2010-08-10,,,,,,,,,,,,,,,Blue crabs,,,,,,,,,,,
182,2010-08-10,,,,,,,,,,,,,,,puffer,,,,,,,,,,,
183,2010-08-10,,,,,,,,,,,,,,,hermit crab,,,,,,,,,,,
184,2010-08-10,,,,,,,,,,,,,,,sand shrimp,,,,,,,,,,,
185,2010-08-10,,,,,,,,,,,,,,,shore shrimp,,,,,,,,,,,
186,2010-08-10,,,,,,,,,,,,,,,Asian shore crab,,,,,,,,,,,
187,2010-08-10,,,,,,,,,,,,,,,juvenille stripped bass,,,,,,,,,,,
188,2010-08-10,,,,,,,,,,,,,,,silversides,,,,,,,,,,,
189,2010-08-10,,,,,,,,,,,,,,,flounder,,,Very big!,,,,,,,,
190,2010-09-18,,,,,,,,,,,,,,,silversides,,,,,,,,,,,
191,2010-09-18,,,,,,,,,,,,,,,oyster toad fish,,,,,,,,,,,
192,2010-09-18,,,,,,,,,,,,,,,anemone,,,,,,,,,,,
193,2010-09-18,,,,,,,,,,,,,,,comb jellies,,,,,,,,,,,
194,2010-09-18,,,,,,,,,,,,,,,asian shore crab,,,,,,,,,,,
195,2010-09-18,,,,,,,,,,,,,,,blue crab,,,,,,,,,,,
196,2010-09-18,,,,,,,,,,,,,,,pipefish,,,,,,,,,,,
197,2010-09-18,,,,,,,,,,,,,,,blue fish,,,,,,,,,,,
198,2010-09-18,,,,,,,,,,,,,,,2 stripped bass,,,one eating a silverside,,,,,,,,
199,2010-09-21,,,,,,,,,,,,,,,silversides,,,,,,,,,,,
200,2010-09-21,,,,,,,,,,,,,,,pipefish,,,,,,,,,,,
201,2010-09-21,,,,,,,,,,,,,,,sand worm,,,,,,,,,,,
202,2010-09-21,,,,,,,,,,,,,,,anemone,,,,,,,,,,,
203,2010-09-21,,,,,,,,,,,,,,,shrimp,,,,,,,,,,,
204,2010-09-21,,,,,,,,,,,,,,,comb jelly,,,,,,,,,,,
205,2010-09-21,,,,,,,,,,,,,,,green crab,,,,,,,,,,,
206,2010-09-21,,,,,,,,,,,,,,,blue crab,,,,,,,,,,,
207,2010-09-21,,,,,,,,,,,,,,,asian shore crab,,,,,,,,,,,
208,2010-10-14,,,,,,,,,,,,,,,Silverside,,,,,,,,,,,
209,2010-10-14,,,,,,,,,,,,,,,comb jelly,,,,,,,,,,,
210,2010-10-14,,,,,,,,,,,,,,,red bearded sponge,,,,,,,,,,,
211,2010-10-14,,,,,,,,,,,,,,,blue muscle,,,,,,,,,,,
212,2010-10-14,,,,,,,,,,,,,,,asian shore crab,,,,,,,,,,,
213,2010-10-14,,,,,,,,,,,,,,,jelly fish,,,,,,,,,,,
214,2011-05-10,,,,,,,,,,,,,,,amphipod,2,,,,,,,,,,
215,2011-05-10,,,,,,,,,,,,,,,Atlantic Silverside,6,,,,,,,,,,
216,2011-05-10,,,,,,,,,,,,,,,Atlantic tomcod,1,,,,,,,,,,
217,2011-05-10,,,,,,,,,,,,,,,comb jellies,2,,,,,,,,,,
218,2011-05-10,,,,,,,,,,,,,,,moon jelly,2,,,,,,,,,,
219,2011-05-10,,,,,,,,,,,,,,,snail,3,,,,,,,,,,
220,2011-05-14,,,,,,,,,,,,,,,anchovy,3,,,,,,,,,,
221,2011-05-14,,,,,,,,,,,,,,,Atlantic Silverside,27,,,,,,,,,,
222,2011-05-14,,,,,,,,,,,,,,,blue crab,9,,,,,,,,,,
223,2011-05-14,,,,,,,,,,,,,,,comb jellies,1,,,,,,,,,,
224,2011-05-14,,,,,,,,,,,,,,,flounder,2,,,,,,,,,,
225,2011-05-14,,,,,,,,,,,,,,,hermit crab,1,,,,,,,,,,
226,2011-05-14,,,,,,,,,,,,,,,herring,6,,,,,,,,,,
227,2011-05-14,,,,,,,,,,,,,,,isopod,1,,,,,,,,,,
228,2011-05-14,,,,,,,,,,,,,,,northern pipefish,2,,,,,,,,,,
229,2011-05-14,,,,,,,,,,,,,,,shrimp (shore and mud),68,,,,,,,,,,
230,2011-05-14,,,,,,,,,,,,,,,striped bass,4,,,,,,,,,,
231,2011-05-20,,,,,,,,,,,,,,,anchovy,36,,,,,,,,,,
232,2011-05-20,,,,,,,,,,,,,,,Atlantic tomcod,4,,,,,,,,,,
233,2011-05-20,,,,,,,,,,,,,,,ctenophore,45,,,,,,,,,,
234,2011-05-20,,,,,,,,,,,,,,,green crab,1,,,,,,,,,,
235,2011-05-20,,,,,,,,,,,,,,,herring,2,,,,,,,,,,
236,2011-05-20,,,,,,,,,,,,,,,shrimp (shore and mud),2,,,,,,,,,,
237,2011-05-20,,,,,,,,,,,,,,,striped bass,1,,,,,,,,,,
238,2011-05-28,,,,,,,,,,,,,,,anchovy,73,,,,,,,,,,
239,2011-05-28,,,,,,,,,,,,,,,blue crab,1,,,,,,,,,,
240,2011-05-28,,,,,,,,,,,,,,,comb jellies,2,,,,,,,,,,
241,2011-05-28,,,,,,,,,,,,,,,herring,3,,,,,,,,,,
242,2011-05-28,,,,,,,,,,,,,,,shrimp (shore and mud),1,,,,,,,,,,
243,2011-05-28,,,,,,,,,,,,,,,striped bass,1,,,,,,,,,,
244,2011-06-11,,,,,,,,,,,,,,,anchovy,20,,,,,,,,,,
245,2011-06-11,,,,,,,,,,,,,,,Atlantic tomcod,1,,,,,,,,,,
246,2011-06-11,,,,,,,,,,,,,,,blue crab,6,,,,,,,,,,
247,2011-06-11,,,,,,,,,,,,,,,comb jellies,9,,,,,,,,,,
248,2011-06-11,,,,,,,,,,,,,,,flatfish,1,,,,,,,,,,
249,2011-06-11,,,,,,,,,,,,,,,herring,1,,,,,,,,,,
250,2011-06-11,,,,,,,,,,,,,,,northern pipefish,1,,,,,,,,,,
251,2011-06-11,,,,,,,,,,,,,,,shrimp (shore and mud),37,,,,,,,,,,
252,2011-06-14,,,,,,,,,,,,,,,anchovy,2,,,,,,,,,,
253,2011-06-14,,,,,,,,,,,,,,,Atlantic Silverside,2,,,,,,,,,,
254,2011-06-14,,,,,,,,,,,,,,,Atlantic tomcod,1,,,,,,,,,,
255,2011-06-14,,,,,,,,,,,,,,,blue crab,2,,,,,,,,,,
256,2011-06-14,,,,,,,,,,,,,,,comb jellies,2,,,,,,,,,,
257,2011-06-14,,,,,,,,,,,,,,,golden star tunicate,1,,,,,,,,,,
258,2011-06-14,,,,,,,,,,,,,,,herring,1,,,,,,,,,,
259,2011-06-14,,,,,,,,,,,,,,,northern pipefish,1,,,,,,,,,,
260,2011-06-14,,,,,,,,,,,,,,,oyster,4,,,,,,,,,,
261,2011-06-14,,,,,,,,,,,,,,,shrimp (shore and mud),5,,,,,,,,,,
262,2011-06-14,,,,,,,,,,,,,,,snail,2,,,,,,,,,,
263,2011-06-26,,,,,,,,,,,,,,,anchovy,1,,,,,,,,,,
264,2011-06-26,,,,,,,,,,,,,,,Atlantic Silverside,8,,,,,,,,,,
265,2011-06-26,,,,,,,,,,,,,,,blue crab,1,,,,,,,,,,
266,2011-06-26,,,,,,,,,,,,,,,blue fish,2,,,,,,,,,,
267,2011-06-26,,,,,,,,,,,,,,,comb jellies,12,,,,,,,,,,
268,2011-06-26,,,,,,,,,,,,,,,flounder,1,,,,,,,,,,
269,2011-06-26,,,,,,,,,,,,,,,herring,3,,,,,,,,,,
270,2011-06-26,,,,,,,,,,,,,,,shrimp (shore and mud),3,,,,,,,,,,
271,2011-06-26,,,,,,,,,,,,,,,snail,1,,,,,,,,,,
272,2011-07-10,,,,,,,,,,,,,,,anchovy,5,,,,,,,,,,
273,2011-07-10,,,,,,,,,,,,,,,Atlantic Silverside,18,,,,,,,,,,
274,2011-07-10,,,,,,,,,,,,,,,comb jellies,60,,,,,,,,,,
275,2011-07-10,,,,,,,,,,,,,,,green crab,1,,,,,,,,,,
276,2011-07-10,,,,,,,,,,,,,,,hydroid,1,,,,,,,,,,
277,2011-07-10,,,,,,,,,,,,,,,moon jelly,30,,,,,,,,,,
278,2011-07-10,,,,,,,,,,,,,,,poly worm,1,,,,,,,,,,
279,2011-07-10,,,,,,,,,,,,,,,sea squirt,15,,,,,,,,,,
280,2011-07-10,,,,,,,,,,,,,,,shrimp (shore and mud),10,,,,,,,,,,
281,2011-07-10,,,,,,,,,,,,,,,snail,4,,,,,,,,,,
282,2011-07-10,,,,,,,,,,,,,,,striped bass,1,,,,,,,,,,
283,2011-07-10,,,,,,,,,,,,,,,tube worm,1,,,,,,,,,,
284,2011-07-11,,,,,,,,,,,,,,,Atlantic Silverside,5,,,,,,,,,,
285,2011-07-11,,,,,,,,,,,,,,,blue crab,1,,,,,,,,,,
286,2011-07-11,,,,,,,,,,,,,,,comb jellies,20,,,,,,,,,,
287,2011-07-11,,,,,,,,,,,,,,,hogchoker,1,,,,,,,,,,
288,2011-07-12,,,,,,,,,,,,,,,Atlantic Silverside,5,,,,,,,,,,
289,2011-07-12,,,,,,,,,,,,,,,blue crab,2,,,,,,,,,,
290,2011-07-12,,,,,,,,,,,,,,,comb jellies,40,,,,,,,,,,
291,2011-07-12,,,,,,,,,,,,,,,decoration crab,1,,,,,,,,,,
292,2011-07-12,,,,,,,,,,,,,,,moon jelly,5,,,,,,,,,,
293,2011-07-12,,,,,,,,,,,,,,,sea squirt,10,,,,,,,,,,
294,2011-07-12,,,,,,,,,,,,,,,snail,10,,,,,,,,,,
295,2011-07-13,,,,,,,,,,,,,,,Atlantic Silverside,3,,,,,,,,,,
296,2011-07-13,,,,,,,,,,,,,,,bay anchove,2,,,,,,,,,,
297,2011-07-13,,,,,,,,,,,,,,,comb jellies,20,,,,,,,,,,
298,2011-07-13,,,,,,,,,,,,,,,shrimp (shore and mud),1,,,,,,,,,,
299,2011-07-13,,,,,,,,,,,,,,,snail,1,,,,,,,,,,
300,2011-07-13,,,,,,,,,,,,,,,white perch,1,,,,,,,,,,
301,2011-08-02,,,,,,,,,,,,,,,Atlantic Silverside,6,,,,,,,,,,
302,2011-08-02,,,,,,,,,,,,,,,blue crab,1,,,,,,,,,,
303,2011-08-02,,,,,,,,,,,,,,,comb jellies,20,,,,,,,,,,
304,2011-08-02,,,,,,,,,,,,,,,oyster,1,,,,,,,,,,
305,2011-08-02,,,,,,,,,,,,,,,snail,0,,,,,,,,,,
306,2011-08-09,,,,,,,,,,,,,,,Atlantic Silverside,10,,,,,,,,,,
307,2011-08-09,,,,,,,,,,,,,,,comb jellies,20,,,,,,,,,,
308,2011-08-09,,,,,,,,,,,,,,,oyster,1,,,,,,,,,,
309,2011-08-09,,,,,,,,,,,,,,,oyster toadfish,1,,,,,,,,,,
310,2011-08-09,,,,,,,,,,,,,,,snail,0,,,,,,,,,,
311,2011-08-10,,,,,,,,,,,,,,,Atlantic Silverside,75,,,,,,,,,,
312,2011-08-10,,,,,,,,,,,,,,,blue crab,3,,,,,,,,,,
313,2011-08-10,,,,,,,,,,,,,,,comb jellies,45,,,,,,,,,,
314,2011-08-10,,,,,,,,,,,,,,,oyster,2,,,,,,,,,,
315,2011-08-10,,,,,,,,,,,,,,,shrimp (shore and mud),2,,,,,,,,,,
316,2011-08-10,,,,,,,,,,,,,,,snail,2,,,,,,,,,,
317,2011-09-10,,,,,,,,,,,,,,,Atlantic Silverside,75,,,,,,,,,,
318,2011-09-10,,,,,,,,,,,,,,,blue crab,1,,,,,,,,,,
319,2011-09-10,,,,,,,,,,,,,,,comb jellies,50++,,,,,,,,,,
320,2011-09-10,,,,,,,,,,,,,,,green crab,1,,,,,,,,,,
321,2011-09-10,,,,,,,,,,,,,,,herring,50++,,,,,,,,,,
322,2011-09-10,,,,,,,,,,,,,,,moon jelly,30++,,,,,,,,,,
323,2011-09-10,,,,,,,,,,,,,,,northern pipefish,1,,,,,,,,,,
324,2011-09-10,,,,,,,,,,,,,,,oyster,3,,,,,,,,,,
325,2011-09-10,,,,,,,,,,,,,,,snail,0,,,,,,,,,,
326,2011-09-10,,,,,,,,,,,,,,,striped bass,1,,,,,,,,,,
327,2011-09-20,,,,,,,,,,,,,,,anchovy,6,,,,,,,,,,
328,2011-09-20,,,,,,,,,,,,,,,Atlantic Silverside,10,,,,,,,,,,
