Sampling Location,Duplicate Sample,Sample Date,Sample Time,Weather Condition (Dry or Wet),Top Sample Temperature (ºC),Bottom Sample Temperature (ºC),Site Actual Depth (ft),Top Sample Depth(ft),Bottom Sample Depth (ft),Top Salinity  (psu),Bottom Salinity  (psu),Top Conductivity (S/m),Bottom Conductivity (S/m),"CTD (conductivity, temperature, depth profiler) Top Dissolved Oxygen (mg/L)","CTD (conductivity, temperature, depth profiler) Bottom Dissolved Oxygen (mg/L)",Percentage O2 Saturation Top Sample,Percentage O2 Saturation Bottom sample,Light Trans (% transparency) Top Sample,Light Trans (% transparency) Bottom Sample,Top Sigma-T (kg/m3),Bottom Sigma-T (kg/m3),Top Fluorometer (mg/m3),Bottom Fluorometer mg/m3,"CTD (conductivity, temperature, depth profiler) PH Top Sample","CTD (conductivity, temperature, depth profiler) PH Bottom Sample",Top Sample Photosysthetically Active Radiation Reference (400-700nm light (uE/S),Top Sample Par (uE/S m2),Bottom Sample Par uE/S (uE/S m2),Oxidation Reduction Potential (mV) Top Sample,Oxidation Reduction Potential (mV) Bottom Sample,Current Speed (knot),Current Direction (Current Direction),Wind Speed (mph),Wind Direction (Wind Direction),Sea State ,Winkler Method Top Dissolved Oxygen (mg/L),Winkler Method Bottom Dissolved Oxygen (mg/L),Secchi Depth (ft),Top PH,Bottom PH,Top Total Coliform Cells/100 mL,Top Bottom Coliform Cells/100 mL,Fecal Coliform Top Sample Less Than or Greater Than Result,Fecal Coliform Bottom Sample Less Than or Greater Than Result,Top Fecal Coliform Bacteria (Cells/100mL),Bottom Fecal Coliform Bacteria (Cells/100mL),Enterococcus Top Sample Less Than or Greater Than Result,Enterococcus Bottom Sample Less Than or Greater Than Result,Top Enterococci Bacteria (Cells/100mL),Bottom Enterococci Bacteria (Cells/100mL),Top Nitrate/Nitrite (mg/L),Bottom Nitrate/Nitrite (mg/L),Top Ammonium (mg/L),Bottom Ammonium (mg/L),Top Ortho-Phosphorus (mg/L),Bottom Ortho-Phosphorus (mg/L),Top Total Kjeldhal Nitrogen (mg/L),Bottom Total Kjeldhal Nitrogen (mg/L),Top Silica (mg/L),Bottom Silica (mg/L),Total Phosphorus(mg/L),Bottom Total Phosphorus (mg/L),Top Total Suspended Solid (mg/L),Bottom Total Suspended Solid (mg/L),Top Active Chlorophyll 'A' (µg/L),Bottom Active Chlorophyll 'A' (µg/L),Chlorophyll Top Sample Field (u/L (YSI),Chlorophyll Bottom Sample Field (u/L (YSI),TOP Total Organic Carbon (mg/L),Top Dissolved Organic Carbon (mg/L),Bottom Dissolved Organic Carbon (mg/L),Top Dissolved Organic Carbon YSI (mg/L),Bottom Dissolved Organic Carbon YSI (mg/L),Top Sample Depth  YSI (ft),Bottom Depth  YSI (ft),Top Sample Salinity YSI (psu),Bottom Sample Salinity YSI (psu),Top Sample Temperature  YSI (ºC),Bottom Sample Temperature YSI (ºC),Top Bacteria # per C.C. 1909,Bottom Bacteria # per C.C. 1909,Top Beam Attenuation Coefficient,Bottom Beam Attenuation Coefficient,Top Five-Day Biochemical Oxygen Demand(mg/L),Bottom Five-Day Biochemical Oxygen Demand(mg/L),Top PCB Plate Count (Thous/mL) ,Bottom PCB plate Count (Thous/mL) ,Top Coliform (Log No/mL),Bottom Coliform (Log No/mL),Oakwood BOD Top Sample (mg/L) ,Oakwood BOD Bottom Sample(mg/L),Oakwood  Total Suspended Solid Top Sample  (mg/L),Oakwood Total Suspended Solid Bottom Sample (mg/L),Top Turbidity( Nephelometric Turbidity Units),Bottom Turbidity YSI (Nephelometric Turbidity Units),Sampling Comment,Long,Lat,Type
N5,,6/16/2003,10:55 AM,Wet,17.74,16.94,49,4,43,19.07,23.5,2.63,3.13,10.24,10.23,120.73,122.01,,,13.18,16.72,,,,,,,,,,,N-0.7,9,NE,1,6.67,6.82,3.5,7.16,7.43,,,,,15,,,,42,,0.623,,0.295,,0.079,,0.76,,2.08,,0.12,,12.9,40.1,1.9,,,,,5.5,,,,,,,,,,,,,,,,,,,,,,,,,,,-74.03,40.7045,Permanent
E2,,6/27/1979,10:52 AM,,18.9,18.3,,,,23.1,22.9,,,,,,,,,,,,,,,,,,,,,N,,,,4,4.2,,,,33000,4000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.7,1.6,,,,,,-73.97,40.735333,Permanent
E2,,6/27/1979,10:52 AM,,18.9,18.3,,,,23.1,22.9,,,,,,,,,,,,,,,,,,,,,N,,,,4,4.2,,,,33000,4000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.7,1.6,,,,,,-73.97,40.735333,Permanent
E2,,9/15/1982,9:25 AM,,21.1,20.6,,,,27.1,26.2,,,,,,,,,,,,,,,,,,,,,W,,,,5,4.3,,,,130000,4500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.6,2.4,,,,,,-73.97,40.735333,Permanent
E2,,9/15/1982,9:25 AM,,21.1,20.6,,,,27.1,26.2,,,,,,,,,,,,,,,,,,,,,W,,,,5,4.3,,,,130000,4500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.6,2.4,,,,,,-73.97,40.735333,Permanent
E2,,9/10/1947,1:40 PM,,25.6,25.6,40,,,26.25,26.25,,,,,,,,,,,,,,,,,,,,,N,,,,0.1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2,1,0.58,2,1,,,,,,,,-73.97,40.735333,Permanent
E2,,9/16/1987,10:58 AM,,22.6,22.6,44,,,,,,,,,,,,,,,,,,,,,,,,,W,,,,2.6,3.2,7.5,7.22,7.23,5000,2000,,,420,155,,,,,0.45,0.35,0.92,0.8,0.17,0.17,,,,,0.23,0.21,,,1,,,,,,,,,,,,,,,,,,,,,,,,,1.5,2,,,,,,-73.97,40.735333,Permanent
N5,,7/9/1913,9:50 AM,,,30,,,,,,,,,,,,,,,,,,,,,,,,,,Flood,,,,21.7,1.89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-74.03,40.7045,Permanent
N5,,7/27/1960,10:35 AM,,21.1,21.1,49,,,27.65,27.65,,,,,,,,,,,,,,,,,,,,,N,,,,2.4,2.5,,,,1100,240,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,-74.03,40.7045,Permanent
N5,,6/28/1922,9:25 AM,,22.8,21.7,49,,,11.9,19.25,,,,,,,,,,,,,,,,,,,,,N,,,,2.18,2.98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-74.03,40.7045,Permanent
E2,,8/3/1926,10:35 AM,,25,24.4,40,,,25.2,25.9,,,,,,,,,,,,,,,,,,,,,S,,,,0,1.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-73.97,40.735333,Permanent
N5,,8/9/1944,,,23.9,23.3,49,,,28.35,29.75,,,,,,,,,,,,,,,,,,,,,,,,,2.52,2.97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,0.25,0.09,2,2,,,,,,,,-74.03,40.7045,Permanent
N5,,5/1/2001,11:40 AM,Dry,11.86,9.65,48,4.5,45,10.55,22.85,1.33,2.57,,,,,,,7.69,17.53,,,,,,,,,,,N,2,N,1,9.84,9.28,2,7.89,7.81,,,,,56,,,,19,,0.465,,0.271,,0.051,,0.896,,3.19,,0.113,,22.2,16.8,0.79,,,,3.5,3.12,,,,,,,,,,,,,,,,,,,,,,,,,,,-74.03,40.7045,Permanent
E2,,7/31/1924,11:55 AM,,21.7,21.1,40,,,26.95,27.3,,,,,,,,,,,,,,,,,,,,,S,,,,2.95,2.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-73.97,40.735333,Permanent
N5,,9/4/1935,10:35 AM,,21.1,21.1,49,,,19.6,22.4,,,,,,,,,,,,,,,,,,,,,N,,,,3.51,3.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-74.03,40.7045,Permanent
N5,,6/13/1989,5:00 PM,,,,56,,,,,,,,,,,,,,,,,,,,,,,,,N,,,,6.4,6.5,2.5,7.6,7.75,35000,3300,,,8300,2000,,,,,0.39,,0.4,,0.085,,,,,,0.098,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-74.03,40.7045,Permanent
N5,,7/6/1927,10:10 AM,,21.7,20.6,49,,,17.85,23.8,,,,,,,,,,,,,,,,,,,,,S,,,,2.47,2.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-74.03,40.7045,Permanent
N5,,8/13/1912,1:30 PM,,25.6,,,1,,,,,,,,,,,,,,,,,,,,,,,,Ebb,,,,1.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-74.03,40.7045,Permanent
N5,,9/26/2016,4:59 PM,Dry,22.76,22.48,57,3,55,24.63,27.11,3.7,4,5.59,4.98,74.8,67.2,74.3,65.7,16.15,18.1,3.82,2.23,7.8,7.84,512,162,0,245.65,245.39,2.1,N,16,S,2,5.92,5.42,4,7.56,7.6,,,,,7,,<,,1,,0.455,,0.285,,,,0.5,,1.794,1.502,0.112,,39,32,3.85,,,,,2.49,,,,,,,,,,,,,,,,,,,,,,,,,,,-74.03,40.7045,Permanent
N5,,8/13/1952,10:30 AM,,25,25,49,,,18.9,24.15,,,,,,,,,,,,,,,,,,,,,N,,,,1.2,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,0.13,0.41,2,1,,,,,,,,-74.03,40.7045,Permanent
E2,,8/23/1961,1:10 PM,,22.8,22.8,40,,,30.45,25.9,,,,,,,,,,,,,,,,,,,,,S,,,,2.5,1.4,,,,1100,1100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,0,,,,,,,,,,,,-73.97,40.735333,Permanent
N5,,7/11/1956,10:30 AM,,20,19.4,49,,,23.45,24.15,,,,,,,,,,,,,,,,,,,,,N,,,,2.5,2.5,,,,43,460,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,0.073,0.197,,,,,,,,,,-74.03,40.7045,Permanent
E2,,6/4/2012,11:17 AM,Wet,19.51,19.52,42,3,40,22.14,22.4,3.14,3.18,4.49,5.39,55.7,67.02,,,15.1,15.3,3.4421,3.3203,,,,,,,,1,S,10,E,1,6.92,6.22,3,7.35,7.46,,,,,50,,E,,18,,0.311,,0.305,,,,0.855,,1.31,,0.126,,9,16,0.4,,,,,2.3,,,,,,,,,,,,,,,,,,,,,,,,,,bottom samples taken with kemmerer max depth 50ft (rope 60 ft),-73.97,40.735333,Permanent
N5,,12/3/2012,10:47 AM,Dry,,,52.8,,,,,,,,,,,,,,,,,,,,,,,,0.8,N,0 - 5,W,1,,,,7.61,,,,,,34,,,,10,,0.471,,0.368,,,,0.509,,2.39,,0.155,,12,,1.4,,2.04,,,4.2,,9.44,,,,19.88,,8.68,,,,,,,,,,,,,,,,8.9,,,-74.03,40.7045,Permanent
N5,,9/6/1939,,,22.2,22.8,49,,,18.9,23.1,,,,,,,,,,,,,,,,,,,,,,,,,3.53,2.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1.56,1.01,2,1,,,,,,,,-74.03,40.7045,Permanent
E2,,6/2/2014,9:08 AM,Dry,16.22,15.96,54,3,46,21.35,21.73,2.82,2.85,6.95,6.82,80.51,78.83,74.31,73.99,15.23,15.58,1.4735,1.5312,,,1782.2,978.29,0,284.735,289.811,1.4,N,5,N,1,8.04,7.21,4,7.49,7.51,,,,,7,,<,,1,,0.224,,0.202,,,,0.593,,1.09,1.04,0.149,,28,35,2.9,,,,,2.72,,,,,,,,,,,,,,,,,,,,,,,,,,,-73.97,40.735333,Permanent
E2,,10/6/1994,1:33 PM,,17.94,17.94,54,1,13,23.05,23.05,3.15,3.15,,,,,,,16.16,16.16,,,,,,,,,,,W,,,,4.98,4.86,5,7.68,7.66,,,,,,,,,,,0.56,,0.57,,0.14,,,,,,0.2,,26,22,1.7,,,,,,,,,,,,,,,,,,,,,,,,,1.6,1.4,,,,,,-73.97,40.735333,Permanent
N5,,6/9/1982,10:30 AM,,18.9,17.8,,,,15.3,21.5,,,,,,,,,,,,,,,,,,,,,N,,,,5,6,,,,46000,6800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.4,2.3,,,,,,-74.03,40.7045,Permanent
N5,,6/9/1982,10:30 AM,,18.9,17.8,,,,15.3,21.5,,,,,,,,,,,,,,,,,,,,,N,,,,5,6,,,,46000,6800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.4,2.3,,,,,,-74.03,40.7045,Permanent
N5,,9/8/2003,2:30 PM,Dry,,,46,,,,,,,,,,,,,,,,,,,,,,,,,S-1.8,8,NE,1,5.43,4.88,3,7.15,7.36,,,,,15,,,,4,,0.427,,0.304,,0.127,,0.927,,1.5,,0.148,,14.2,15.2,1.66,,1.75,,,3.76,,,,,,23.5,27.6,21.9,21.6,,,,,,,,,,,,,,,,,,-74.03,40.7045,Permanent
E2,,7/29/1981,1:28 PM,,23.9,23.3,,,,26.1,25.9,,,,,,,,,,,,,,,,,,,,,W,,,,2.6,2.4,,,,17000,13000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8,0.9,,,,,,-73.97,40.735333,Permanent
E2,,7/29/1981,1:28 PM,,23.9,23.3,,,,26.1,25.9,,,,,,,,,,,,,,,,,,,,,W,,,,2.6,2.4,,,,17000,13000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8,0.9,,,,,,-73.97,40.735333,Permanent
E2,,6/26/1963,10:00 AM,,22.2,21.1,40,,,30.1,30.8,,,,,,,,,,,,,,,,,,,,,N,,,,2.3,2.7,,,,1100,1100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,3,,,,,,,,,,,,-73.97,40.735333,Permanent
N5,,1/11/2010,3:50 PM,Dry,0.82,4.11,48,3,48,12.25,26.72,1.13,2.56,11.43,9.75,87.1,89.1,45.7,32,9.78,21.2,3.06,5.68,9.14,9.18,121,8,0,78.63,78.04,0.3,N,5,W,1,5.49,7.35,2,7.73,7.82,,,,,23,,E,,24,,0.355,,0.36,,,,1.366,,3.16,,0.123,,15.8,35.1,1.2,,,,,3.5,,,,,,,,,,,,,,,,,,,,,,,,,,,-74.03,40.7045,Permanent
N5,,6/4/1969,10:21 AM,,17.8,16.7,,,,15,18.6,,,,,,,,,,,,,,,,,,,,,N,,,,5.9,5.2,,,,49000,23000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.3,1.7,,,,,,-74.03,40.7045,Permanent
N5,,6/17/1993,10:07 AM,,,,46,,,,,,,,,,,,,,,,,,,,,,,,,S,,,,10.35,8.57,4,7.93,7.56,400,200,,,100,10,,,,,0.24,,0.13,,0.024,,,,,,0.075,,29,20,28.1,,,,,,,,,,,,,,,,,,,,,,,,,2.7,1.2,,,,,,-74.03,40.7045,Permanent
E2,,6/16/2008,4:47 PM,Wet,19.27,19.22,48,4,46,23.27,23.28,3.27,3.27,4.65,4.58,58.02,57.04,,,16.02,16.04,2.3216,2.3936,,,1615.2,101.24,0,,,1.5,E,6,S,1,5.55,5.32,6,7.1,7.1,,,,,128,,,,4,,0.382,,0.56,,0.138,,1.14,,1.02,,0.182,,6.8,13.2,2.3,,,,,3.01,,,,,,,,,,,,,,,,,,,,,,,,,,,-73.97,40.735333,Permanent
N5,,8/3/2009,3:12 PM,Wet,25.99,21.6,47,3,45,4.31,23.94,0.79,3.52,6.51,4.16,82.42,54.34,,,0.02,15.94,7.1051,2.6392,8.29,8.18,1688,78.22,0,197.896,224.88,2.4,S,9,S,1,6.2,4.31,3,7.34,7.22,,,E,,256,,E,,26,,0.376,,0.134,,,,0.592,,1.36,,0.104,,6.2,3,3.2,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,-74.03,40.7045,Permanent
N5,,7/22/1909,4:18 PM,,20.5,,,1,,,,,,,,,,,,,,,,,,,,,,,,Ebb,,,,3.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-74.03,40.7045,Permanent
N5,,7/7/1932,2:05 PM,,21.7,20.6,49,,,24.85,26.6,,,,,,,,,,,,,,,,,,,,,N,,,,3.44,3.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-74.03,40.7045,Permanent
E2,,9/13/2010,10:15 AM,Dry,21.7,21.51,45,3,40,25.46,25.46,3.73,3.72,4.07,4.03,53.79,53.1,77.43,76.94,17.06,17.12,5.9137,6.0341,7.99,8,838.24,39.76,0,138.287,134.536,1,NE,CALM,,1,4.46,4.61,4.5,7.15,7.17,,,,,116,,,,8,,0.438,,0.404,,,,1.94,,2.25,,0.239,,8.8,8.2,1.1,,,,,3.1,,,,,,,,,,,,,,,,,,,,,,,,,,,-73.97,40.735333,Permanent
N5,,9/16/2002,10:32 AM,Wet,22.55,21.52,45,4,46,26.24,29.8,3.9,4.29,10.31,7.23,139.07,97.66,,,17.43,20.4,,,,,,,,,,,S,13,SW,2,5.97,6.08,6,7.56,7.74,,,,,565,,,,188,,0.55,,0.41,,0.174,,0.892,,1.76,,0.213,,9.2,38.4,3.68,,,,,4.4,,,,,,,,,,,,,,,,,,,,,,,,,,,-74.03,40.7045,Permanent
E2,,4/20/1915,10:45 AM,,10.5,9.4,40,,,22.4,23.8,,,,,,,,,,,,,,,,,,,,,,,,,7.68,8.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-73.97,40.735333,Permanent
E2,,7/24/1934,2:20 PM,,22.2,21.7,40,,,26.6,26.95,,,,,,,,,,,,,,,,,,,,,S,,,,0.38,1.66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-73.97,40.735333,Permanent
