,Date,Time,Weather & Air Temp:,Water Temp:,Corrected Water Temp:,Water Temp Probe,pH,Corrected pH,pH Probe,DO,Corrected DO,DO Probe,Turbidity,Turbidity Probe (NTU),Salinity,Corrected Salinity,Salinity Probe,Tide is moving,Tide Times,# Hauls,Corrected # Hauls,Common Name,Corrected Common Name,Grouped Corrected Common Name,Quantity,Corrected Quantity,Scientific Name,Instructors/ Seine Staff:,# student seiners (CLASSES ONLY),# of visitors (Public Seine ONLY),# Brought to Ed Center,"Other info (Gender, Length, Dead/Alive, other physical description)",NOTES FROM SEINEING SEASON:,NOTES FROM SEINE:
61,2009-07-17,,,,,,,,,,,,,,,,,,,,,winter flounder,winter flounder,flatfish,,1,,,,,,,,
62,2009-07-17,,,,,,,,,,,,,,,,,,,,,northern pipefish,northern pipefish,northern pipefish,,1,,,,,,,,
63,2009-07-17,,,,,,,,,,,,,,,,,,,,,striped bass,striped bass,striped bass,,1,,,,,,,,
64,2009-07-17,,,,,,,,,,,,,,,,,,,,,herring,unidentified herring,herring,,1,,,,,,,,
65,2009-07-17,,,,,,,,,,,,,,,,,,,,,atlantic silverside,atlantic silverside,atlantic silverside,,1,,,,,,,,
66,2009-07-18,,,,,,,,,,,,,,,,,,,,,green crab,green crab,green crab,,1,,,,,,,,
67,2009-07-18,,,,,,,,,,,,,,,,,,,,,northern pipefish,northern pipefish,northern pipefish,,1,,,,,,,,
68,2009-07-18,,,,,,,,,,,,,,,,,,,,,striped bass,striped bass,striped bass,,1,,,,,,,,
69,2009-07-18,,,,,,,,,,,,,,,,,,,,,atlantic silverside,atlantic silverside,atlantic silverside,,1,,,,,,,,
70,2009-07-18,,,,,,,,,,,,,,,,,,,,,snails,unidentified snail,sea snail,,1,,,,,,,,
71,2009-07-18,,,,,,,,,,,,,,,,,,,,,sand shrimp,sand shrimp,shrimp,,1,,,,,,,,
72,2009-07-18,,,,,,,,,,,,,,,,,,,,,shore shrimp,shore shrimp,shrimp,,1,,,,,,,,
73,2009-07-18,,,,,,,,,,,,,,,,,,,,,comb jelly,comb jelly,comb jelly,,1,,,,,,,,
74,2009-07-21,,,,,,,,,,,,,,,,,,,,,blue crab,blue crab,blue crab,,1,,,,,,,,
75,2009-07-21,,,,,,,,,,,,,,,,,,,,,lady crab,lady crab,lady crab,,1,,,,,,,,
76,2009-07-21,,,,,,,,,,,,,,,,,,,,,hermit crab,unidentified hermit crab,hermit crab,,1,,,,,,,,
77,2009-07-21,,,,,,,,,,,,,,,,,,,,,green crab,green crab,green crab,,1,,,,,,,,
78,2009-07-21,,,,,,,,,,,,,,,,,,,,,snails,unidentified snail,sea snail,,1,,,,,,,,
79,2009-07-21,,,,,,,,,,,,,,,,,,,,,sand shrimp,sand shrimp,shrimp,,1,,,,,,,,
80,2009-07-21,,,,,,,,,,,,,,,,,,,,,northern pipefish,northern pipefish,northern pipefish,,1,,,,,,,,
81,2009-07-21,,,,,,,,,,,,,,,,,,,,,atlantic silverside,atlantic silverside,atlantic silverside,,1,,,,,,,,
82,2009-07-21,,,,,,,,,,,,,,,,,,,,,winter flounder,winter flounder,flatfish,,1,,,,,,,,
83,2009-07-21,,,,,,,,,,,,,,,,,,,,,shore shrimp,shore shrimp,shrimp,,1,,,,,,,,
84,2009-07-21,,,,,,,,,,,,,,,,,,,,,comb jelly,comb jelly,comb jelly,,1,,,,,,,,
85,2009-09-23,,,,,,,,,,,,,,,,,,,,,lions mane jellyfish cyanea capillata,lions mane jellyfish,jellyfish,,1,,,,,,,,
86,2009-09-23,,,,,,,,,,,,,,,,,,,,,green crab carcinus maenas,green crab,green crab,,1,,,,,,,,
87,2009-09-23,,,,,,,,,,,,,,,,,,,,,atlantic silverside menidia menidia,atlantic silverside,atlantic silverside,,1,,,,,,,,
88,2009-09-23,,,,,,,,,,,,,,,,,,,,,sea horse hippocampus,northern seahorse,northern seahorse,,1,,,,,,,,
89,2009-09-23,,,,,,,,,,,,,,,,,,,,,pipefish syngnathinae,northern pipefish,northern pipefish,,1,,,,,,,,
90,2010-06-12,,,,,,,,,,,,,,,,,,,,,shore shrimp,shore shrimp,shrimp,,1,,,,,,,,
91,2010-06-12,,,,,,,,,,,,,,,,,,,,,red lions mane jellyfish,lions mane jellyfish,jellyfish,,1,,,,,,dead,,
92,2010-06-12,,,,,,,,,,,,,,,,,,,,,northern pipefish,northern pipefish,northern pipefish,,1,,,,,,,,
93,2010-06-12,,,,,,,,,,,,,,,,,,,,,comb jellies,comb jelly,comb jelly,,1,,,,,,,,
94,2010-06-12,,,,,,,,,,,,,,,,,,,,,winter flounder,winter flounder,flatfish,,1,,,,,,,,
95,2010-06-12,,,,,,,,,,,,,,,,,,,,,blue crab,blue crab,blue crab,,1,,,,,,,,
96,2010-06-12,,,,,,,,,,,,,,,,,,,,,atlantic tomcod,atlantic tomcod,atlantic tomcod,,1,,,,,,,,
97,2010-06-12,,,,,,,,,,,,,,,,,,,,,atlantic silverside,atlantic silverside,atlantic silverside,,1,,,,,,,,
98,2010-06-12,,,,,,,,,,,,,,,,,,,,,bluefish,bluefish,bluefish,,1,,,,,,,,
99,2010-06-26,,,,,,,,,,,,,,,,,,,,,comb jellies ctenophores,comb jelly,comb jelly,,1,,,,,,,,
100,2010-06-26,,,,,,,,,,,,,,,,,,,,,true jellies,jelly fish,jellyfish,,1,,,,,,,,
101,2010-06-26,,,,,,,,,,,,,,,,,,,,,atlantic silverside,atlantic silverside,atlantic silverside,,1,,,,,,,,
102,2010-06-26,,,,,,,,,,,,,,,,,,,,,pipefish,northern pipefish,northern pipefish,,1,,,,,,,,
103,2010-06-26,,,,,,,,,,,,,,,,,,,,,glass shrimp,shore shrimp,shrimp,,1,,,,,,,,
104,2010-07-07,,,,,,,,,,,,,,,,,,,,,atlantic silverslide,atlantic silverside,atlantic silverside,,1,,,,,,,,
105,2010-07-07,,,,,,,,,,,,,,,,,,,,,comb jellies,comb jelly,comb jelly,,1,,,,,,,,
106,2010-07-08,,,,,,,,,,,,,,,,,,,,,comb jellies,comb jelly,comb jelly,,1,,,,,,,,
107,2010-07-08,,,,,,,,,,,,,,,,,,,,,blue crab,blue crab,blue crab,,1,,,,,,,,
108,2010-07-08,,,,,,,,,,,,,,,,,,,,,northern pipefish,northern pipefish,northern pipefish,,1,,,,,,,,
109,2010-07-08,,,,,,,,,,,,,,,,,,,,,sand shrimp,sand shrimp,shrimp,,1,,,,,,,,
110,2010-07-08,,,,,,,,,,,,,,,,,,,,,winter flounder,winter flounder,flatfish,,1,,,,,,,,
111,2010-07-08,,,,,,,,,,,,,,,,,,,,,shore shrimp,shore shrimp,shrimp,,1,,,,,,,,
112,2010-07-08,,,,,,,,,,,,,,,,,,,,,striped bass,striped bass,striped bass,,1,,,,,,,,
113,2010-07-09,,,,,,,,,,,,,,,,,,,,,summer flounder,summer flounder,flatfish,,1,,,,,,,,
114,2010-07-09,,,,,,,,,,,,,,,,,,,,,hydromedusae,hydromedusa,jellyfish,,1,,,,,,,,
115,2010-07-09,,,,,,,,,,,,,,,,,,,,,comb jellies,comb jelly,comb jelly,,1,,,,,,,,
116,2010-07-09,,,,,,,,,,,,,,,,,,,,,amphipod,amphipod,amphipod,,1,,,,,,,,
117,2010-07-09,,,,,,,,,,,,,,,,,,,,,atlantic silverside,atlantic silverside,atlantic silverside,,1,,,,,,,,
118,2010-07-09,,,,,,,,,,,,,,,,,,,,,striped bass,striped bass,striped bass,,1,,,,,,,,
119,2010-07-09,,,,,,,,,,,,,,,,,,,,,lady crab,lady crab,lady crab,,1,,,,,,,,
120,2010-07-09,,,,,,,,,,,,,,,,,,,,,northern pipefish,northern pipefish,northern pipefish,,1,,,,,,,,
121,2010-07-09,,,,,,,,,,,,,,,,,,,,,the cutest northern puffer ever,northern puffer,puffer,,1,,,,,,,,
122,2010-07-09,,,,,,,,,,,,,,,,,,,,,sand shrimp,sand shrimp,shrimp,,1,,,,,,,,
123,2010-07-09,,,,,,,,,,,,,,,,,,,,,winter flounder,winter flounder,flatfish,,1,,,,,,,,
124,2010-07-10,,,,,,,,,,,,,,,,,,,,,hydromedusae,hydromedusa,jellyfish,,1,,,,,,,,
125,2010-07-10,,,,,,,,,,,,,,,,,,,,,northern pipefish,northern pipefish,northern pipefish,,1,,,,,,,,
126,2010-07-10,,,,,,,,,,,,,,,,,,,,,comb jellies,comb jelly,comb jelly,,1,,,,,,,,
127,2010-07-10,,,,,,,,,,,,,,,,,,,,,bluefish,bluefish,bluefish,,1,,,,,,,,
128,2010-07-10,,,,,,,,,,,,,,,,,,,,,amphipod,amphipod,amphipod,,1,,,,,,,,
129,2010-07-10,,,,,,,,,,,,,,,,,,,,,striped bass,striped bass,striped bass,,1,,,,,,,,
130,2010-07-10,,,,,,,,,,,,,,,,,,,,,sand shrimp,sand shrimp,shrimp,,1,,,,,,,,
131,2010-07-10,,,,,,,,,,,,,,,,,,,,,blue crab,blue crab,blue crab,,1,,,,,,,,
132,2010-07-10,,,,,,,,,,,,,,,,,,,,,winter flounder,winter flounder,flatfish,,1,,,,,,,,
133,2010-07-10,,,,,,,,,,,,,,,,,,,,,atlantic silverside,atlantic silverside,atlantic silverside,,1,,,,,,,,
134,2010-07-20,,,,,,,,,,,,,,,,,,,,,blue fish,bluefish,bluefish,,1,,,,,,,,
135,2010-07-20,,,,,,,,,,,,,,,,,,,,,snails,unidentified snail,sea snail,,1,,,,,,,,
136,2010-07-20,,,,,,,,,,,,,,,,,,,,,comb jelly,comb jelly,comb jelly,,1,,,,,,,,
137,2010-07-20,,,,,,,,,,,,,,,,,,,,,true jelly,jelly fish,jellyfish,,1,,,,,,,,
138,2010-07-20,,,,,,,,,,,,,,,,,,,,,shore shrimp,shore shrimp,shrimp,,1,,,,,,,,
139,2010-07-20,,,,,,,,,,,,,,,,,,,,,sand shrimp,sand shrimp,shrimp,,1,,,,,,,,
140,2010-07-20,,,,,,,,,,,,,,,,,,,,,blue crab,blue crab,blue crab,,1,,,,,,,,
141,2010-07-20,,,,,,,,,,,,,,,,,,,,,atlantic silversides,atlantic silverside,atlantic silverside,,1,,,,,,,,
142,2010-07-20,,,,,,,,,,,,,,,,,,,,,ctenophore,comb jelly,comb jelly,,1,,,,,,,,
143,2010-07-21,,,,,,,,,,,,,,,,,,,,,snails,unidentified snail,sea snail,,1,,,,,,,,
144,2010-07-21,,,,,,,,,,,,,,,,,,,,,oyster toad fish,oyster toadfish,oyster toadfish,,1,,,,,,,,
145,2010-07-21,,,,,,,,,,,,,,,,,,,,,sea robin,northern sea robin,sea robin,,1,,,,,,,,
146,2010-07-21,,,,,,,,,,,,,,,,,,,,,flounder,unidentified flatfish,flatfish,,1,,,,,,,,
147,2010-07-21,,,,,,,,,,,,,,,,,,,,,blue fish,bluefish,bluefish,,1,,,,,,,,
148,2010-07-21,,,,,,,,,,,,,,,,,,,,,shore shrimp,shore shrimp,shrimp,,1,,,,,,,,
149,2010-07-21,,,,,,,,,,,,,,,,,,,,,northern pipefish,northern pipefish,northern pipefish,,1,,,,,,,,
150,2010-07-21,,,,,,,,,,,,,,,,,,,,,lions mane jellyfish,lions mane jellyfish,jellyfish,,1,,,,,,dead,,
151,2010-07-21,,,,,,,,,,,,,,,,,,,,,true jellies,jelly fish,jellyfish,,1,,,,,,,,
152,2010-07-21,,,,,,,,,,,,,,,,,,,,,comb jellies,comb jelly,comb jelly,,1,,,,,,,,
153,2010-07-21,,,,,,,,,,,,,,,,,,,,,sand shrimp,sand shrimp,shrimp,,1,,,,,,,,
154,2010-07-21,,,,,,,,,,,,,,,,,,,,,blue crab,blue crab,blue crab,,1,,,,,,,,
155,2010-07-21,,,,,,,,,,,,,,,,,,,,,atlantic silverside,atlantic silverside,atlantic silverside,,1,,,,,,,,
156,2010-07-22,,,,,,,,,,,,,,,,,,,,,striped bass,striped bass,striped bass,,1,,,,,,,,
157,2010-07-22,,,,,,,,,,,,,,,,,,,,,norther puffer,northern puffer,puffer,,1,,,,,,,,
158,2010-07-22,,,,,,,,,,,,,,,,,,,,,winter flounder,winter flounder,flatfish,,1,,,,,,,,
159,2010-07-22,,,,,,,,,,,,,,,,,,,,,atlantic silversides,atlantic silverside,atlantic silverside,,1,,,,,,,,
160,2010-07-22,,,,,,,,,,,,,,,,,,,,,hydromedusae,hydromedusa,jellyfish,,1,,,,,,,,
161,2010-07-22,,,,,,,,,,,,,,,,,,,,,comb jellies,comb jelly,comb jelly,,1,,,,,,,,
162,2010-07-22,,,,,,,,,,,,,,,,,,,,,norther pipefish,northern pipefish,northern pipefish,,1,,,,,,,,
163,2010-07-22,,,,,,,,,,,,,,,,,,,,,sand shrimp,sand shrimp,shrimp,,1,,,,,,,,
164,2010-07-22,,,,,,,,,,,,,,,,,,,,,hermit crab,unidentified hermit crab,hermit crab,,1,,,,,,,,
165,2010-07-22,,,,,,,,,,,,,,,,,,,,,clam worm probably nereis spp,clam worm probably nereis spp,polychaete worm,,1,,,,,,,,
166,2010-07-22,,,,,,,,,,,,,,,,,,,,,amphipods,amphipod,amphipod,,1,,,,,,,,
167,2010-07-22,,,,,,,,,,,,,,,,,,,,,blue crabs,blue crab,blue crab,,1,,,,,,,,
168,2010-07-22,,,,,,,,,,,,,,,,,,,,,shore shrimp,shore shrimp,shrimp,,1,,,,,,,,
169,2010-07-24,,,,,,,,,,,,,,,,,,,,,sennet,sennet,sennet,,1,,,,,,"We also hauled the seine right into a small school of northern sennet, all of them 100-120 mm long.",,
170,2010-07-24,,,,,,,,,,,,,,,,,,,,,blue crabs,blue crab,blue crab,,1,,,,,,,,
171,2010-07-24,,,,,,,,,,,,,,,,,,,,,sand shrimp,sand shrimp,shrimp,,1,,,,,,,,
172,2010-07-24,,,,,,,,,,,,,,,,,,,,,comb jellies,comb jelly,comb jelly,,1,,,,,,,,
173,2010-07-24,,,,,,,,,,,,,,,,,,,,,atlantic silverside,atlantic silverside,atlantic silverside,,1,,,,,,,,
174,2010-07-24,,,,,,,,,,,,,,,,,,,,,striped bass,striped bass,striped bass,,1,,,,,,,,
175,2010-07-24,,,,,,,,,,,,,,,,,,,,,northern pipefish,northern pipefish,northern pipefish,,1,,,,,,,,
176,2010-07-24,,,,,,,,,,,,,,,,,,,,,northern puffer,northern puffer,puffer,,1,,,,,,,,
177,2010-07-24,,,,,,,,,,,,,,,,,,,,,winter flounder,winter flounder,flatfish,,1,,,,,,,,
178,2010-07-24,,,,,,,,,,,,,,,,,,,,,northern kingfish,northern kingfish,northern kingfish,,1,,,,,,,,
179,2010-07-24,,,,,,,,,,,,,,,,,,,,,bluefish,bluefish,bluefish,,1,,,,,,,,
180,2010-08-10,,,,,,,,,,,,,,,,,,,,,asian shore crab,asian shore crab,asian shore crab,,1,,,,,,,,
181,2010-08-10,,,,,,,,,,,,,,,,,,,,,flounder,unidentified flatfish,flatfish,,1,,,,,,Very big!,,
182,2010-08-10,,,,,,,,,,,,,,,,,,,,,silversides,atlantic silverside,atlantic silverside,,1,,,,,,,,
183,2010-08-10,,,,,,,,,,,,,,,,,,,,,shore shrimp,shore shrimp,shrimp,,1,,,,,,,,
184,2010-08-10,,,,,,,,,,,,,,,,,,,,,juvenille stripped bass,striped bass,striped bass,,1,,,,,,,,
185,2010-08-10,,,,,,,,,,,,,,,,,,,,,hermit crab,unidentified hermit crab,hermit crab,,1,,,,,,,,
186,2010-08-10,,,,,,,,,,,,,,,,,,,,,sand shrimp,sand shrimp,shrimp,,1,,,,,,,,
187,2010-08-10,,,,,,,,,,,,,,,,,,,,,puffer,northern puffer,puffer,,1,,,,,,,,
188,2010-08-10,,,,,,,,,,,,,,,,,,,,,blue crabs,blue crab,blue crab,,1,,,,,,,,
189,2010-09-18,,,,,,,,,,,,,,,,,,,,,2 stripped bass,striped bass,striped bass,,1,,,,,,one eating a silverside,,
190,2010-09-18,,,,,,,,,,,,,,,,,,,,,blue fish,bluefish,bluefish,,1,,,,,,,,
191,2010-09-18,,,,,,,,,,,,,,,,,,,,,pipefish,northern pipefish,northern pipefish,,1,,,,,,,,
192,2010-09-18,,,,,,,,,,,,,,,,,,,,,blue crab,blue crab,blue crab,,1,,,,,,,,
193,2010-09-18,,,,,,,,,,,,,,,,,,,,,asian shore crab,asian shore crab,asian shore crab,,1,,,,,,,,
194,2010-09-18,,,,,,,,,,,,,,,,,,,,,comb jellies,comb jelly,comb jelly,,1,,,,,,,,
195,2010-09-18,,,,,,,,,,,,,,,,,,,,,anemone,anemone,anemone,,1,,,,,,,,
196,2010-09-18,,,,,,,,,,,,,,,,,,,,,oyster toad fish,oyster toadfish,oyster toadfish,,1,,,,,,,,
197,2010-09-18,,,,,,,,,,,,,,,,,,,,,silversides,atlantic silverside,atlantic silverside,,1,,,,,,,,
198,2010-09-21,,,,,,,,,,,,,,,,,,,,,blue crab,blue crab,blue crab,,1,,,,,,,,
199,2010-09-21,,,,,,,,,,,,,,,,,,,,,asian shore crab,asian shore crab,asian shore crab,,1,,,,,,,,
200,2010-09-21,,,,,,,,,,,,,,,,,,,,,comb jelly,comb jelly,comb jelly,,1,,,,,,,,
201,2010-09-21,,,,,,,,,,,,,,,,,,,,,shrimp,unidentified shrimp,shrimp,,1,,,,,,,,
202,2010-09-21,,,,,,,,,,,,,,,,,,,,,green crab,green crab,green crab,,1,,,,,,,,
203,2010-09-21,,,,,,,,,,,,,,,,,,,,,sand worm,sandworm,polychaete worm,,1,,,,,,,,
204,2010-09-21,,,,,,,,,,,,,,,,,,,,,pipefish,northern pipefish,northern pipefish,,1,,,,,,,,
205,2010-09-21,,,,,,,,,,,,,,,,,,,,,silversides,atlantic silverside,atlantic silverside,,1,,,,,,,,
206,2010-09-21,,,,,,,,,,,,,,,,,,,,,anemone,anemone,anemone,,1,,,,,,,,
207,2010-10-14,,,,,,,,,,,,,,,,,,,,,silverside,atlantic silverside,atlantic silverside,,1,,,,,,,,
208,2010-10-14,,,,,,,,,,,,,,,,,,,,,comb jelly,comb jelly,comb jelly,,1,,,,,,,,
209,2010-10-14,,,,,,,,,,,,,,,,,,,,,red bearded sponge,red beard sponge,sponge,,1,,,,,,,,
210,2010-10-14,,,,,,,,,,,,,,,,,,,,,blue muscle,blue mussel,mussel,,1,,,,,,,,
211,2010-10-14,,,,,,,,,,,,,,,,,,,,,asian shore crab,asian shore crab,asian shore crab,,1,,,,,,,,
212,2010-10-14,,,,,,,,,,,,,,,,,,,,,jelly fish,unidentified jelly fish,jellyfish,,1,,,,,,,,
213,2011-05-10,,,,,,,,,,,,,,,,,,,,,snail,unidentified snail,sea snail,3,3,,,,,,,,
214,2011-05-10,,,,,,,,,,,,,,,,,,,,,moon jelly,moon jelly,jellyfish,2,2,,,,,,,,
215,2011-05-10,,,,,,,,,,,,,,,,,,,,,comb jellies,comb jelly,comb jelly,2,2,,,,,,,,
216,2011-05-10,,,,,,,,,,,,,,,,,,,,,amphipod,amphipod,amphipod,2,2,,,,,,,,
217,2011-05-10,,,,,,,,,,,,,,,,,,,,,atlantic silverside,atlantic silverside,atlantic silverside,6,6,,,,,,,,
218,2011-05-10,,,,,,,,,,,,,,,,,,,,,atlantic tomcod,atlantic tomcod,atlantic tomcod,1,1,,,,,,,,
219,2011-05-14,,,,,,,,,,,,,,,,,,,,,herring,unidentified herring,herring,6,6,,,,,,,,
220,2011-05-14,,,,,,,,,,,,,,,,,,,,,striped bass,striped bass,striped bass,4,4,,,,,,,,
221,2011-05-14,,,,,,,,,,,,,,,,,,,,,northern pipefish,northern pipefish,northern pipefish,2,2,,,,,,,,
222,2011-05-14,,,,,,,,,,,,,,,,,,,,,isopod,isopod,isopod,1,1,,,,,,,,
223,2011-05-14,,,,,,,,,,,,,,,,,,,,,hermit crab,unidentified hermit crab,hermit crab,1,1,,,,,,,,
224,2011-05-14,,,,,,,,,,,,,,,,,,,,,shrimp shore and mud,unidentified shrimp,shrimp,68,68,,,,,,,,
225,2011-05-14,,,,,,,,,,,,,,,,,,,,,comb jellies,comb jelly,comb jelly,1,1,,,,,,,,
