,Species,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
34,green crab,No,Yes,Yes,Yes,Yes,No,Yes,No,Yes,No
35,grubby sculpin family,No,No,No,No,No,No,Yes,No,No,No
36,hermit crab,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No
37,herring,No,No,No,Yes,Yes,No,No,No,No,Yes
38,hogchoker,No,No,No,Yes,No,No,No,No,No,No
39,hydra medusa,No,No,No,No,No,No,No,Yes,No,No
40,hydroid,No,Yes,No,Yes,No,No,No,No,No,No
41,hydromedusae,No,No,Yes,Yes,No,No,No,No,No,No
42,isopod,No,No,No,Yes,No,No,No,Yes,No,No
43,jelly fish,No,No,Yes,No,No,Yes,Yes,No,No,No
44,lady crab,Yes,No,Yes,No,No,No,No,Yes,Yes,Yes
45,lions mane jellyfish,Yes,Yes,Yes,No,No,No,No,No,No,No
46,mantis shrimp,Yes,No,No,No,No,No,No,No,No,No
47,menhaden,No,No,No,No,No,No,Yes,Yes,No,Yes
48,mole crab,No,No,No,No,No,No,No,No,Yes,No
49,moon jelly,No,No,No,Yes,Yes,Yes,No,No,Yes,Yes
50,mud crab,No,No,No,No,No,Yes,No,No,Yes,Yes
51,mud snail,No,No,No,No,No,No,No,No,Yes,Yes
52,mussel,No,No,No,No,No,No,No,No,Yes,Yes
53,naked goby,No,No,No,Yes,No,No,No,No,Yes,No
54,northern kingfish,Yes,No,Yes,Yes,No,No,Yes,No,Yes,Yes
55,northern pipefish,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes
56,northern puffer,No,No,Yes,No,Yes,No,No,No,No,No
57,northern sea robin,No,No,No,No,No,No,No,No,Yes,No
58,northern stargazer,No,No,No,No,Yes,No,No,No,No,No
59,oyster,No,No,No,Yes,No,No,No,No,No,Yes
60,oyster drill snail,No,No,No,No,No,Yes,No,Yes,Yes,Yes
61,oyster toadfish,Yes,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes
62,pipefish,No,Yes,Yes,No,No,No,Yes,Yes,Yes,Yes
63,poly worm,No,No,No,Yes,No,No,No,No,No,No
64,porgy,No,No,No,No,Yes,No,Yes,Yes,Yes,No
65,puffer,No,No,Yes,No,No,No,No,No,No,No
66,red beard sponge,No,No,Yes,No,No,No,No,No,Yes,No
67,ribbed mussel,No,No,No,No,Yes,No,No,No,No,No
68,sand shrimp,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,Yes
69,sandworm,No,No,Yes,No,Yes,No,No,No,Yes,Yes
70,scud,No,No,No,No,No,No,No,Yes,No,No
71,sea bass,No,No,No,No,No,No,No,No,Yes,No
72,sea robin,No,No,Yes,No,No,No,No,No,Yes,No
73,sea snail,No,No,No,No,No,No,No,Yes,No,No
74,sea squirt,Yes,Yes,No,Yes,Yes,Yes,No,No,No,Yes
75,seaboard goby,No,No,No,No,No,No,No,No,Yes,No
76,seahorse,No,Yes,No,No,No,No,Yes,No,No,No
77,sennet,No,No,Yes,No,No,No,No,No,No,No
78,seven spine shrimp,No,No,No,No,Yes,No,No,No,No,No
79,sheepshead porgy,No,No,No,No,No,No,No,Yes,No,No
80,shore shrimp,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes
81,shrimp,No,No,Yes,No,No,Yes,No,No,Yes,No
82,shrimp shore and mud,No,No,No,Yes,Yes,No,No,No,No,No
83,silver perch,No,No,No,No,Yes,No,No,No,Yes,No
84,silverside,No,No,Yes,No,No,Yes,Yes,No,Yes,Yes
85,skillet fish,No,No,No,Yes,Yes,No,No,No,No,No
86,snail,No,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No
87,snail eggs,No,No,No,No,No,No,No,No,No,Yes
88,spider crab,No,No,No,No,No,No,No,No,Yes,No
89,sponge,No,No,No,No,No,No,No,Yes,No,No
90,spotted hake,No,No,No,No,Yes,No,No,No,No,No
91,striped bass,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
92,striped searobin,Yes,No,No,No,No,No,No,No,No,No
93,summer flounder,No,No,Yes,No,No,Yes,No,Yes,Yes,No
94,tautog,No,No,No,No,No,No,No,Yes,Yes,Yes
95,tube worm,No,No,No,Yes,No,No,No,No,No,No
96,tunicate sponge,No,No,No,No,No,No,No,No,No,Yes
97,tunicates,No,No,No,No,Yes,No,No,Yes,Yes,No
98,unidentified fish,No,No,No,No,No,No,No,No,Yes,No
99,western mosquito fish,No,No,No,No,No,No,No,No,Yes,No
100,whelk snail,No,No,No,No,No,No,No,No,Yes,No
101,white fingered mud crab,No,No,No,No,Yes,No,No,No,No,No
102,white mullet,No,No,No,No,Yes,No,No,No,No,No
103,white perch,No,No,No,Yes,No,No,No,Yes,No,No
104,windowpane flounder,No,No,No,No,No,No,Yes,No,Yes,No
105,winter flounder,Yes,No,Yes,No,No,No,Yes,Yes,Yes,Yes
106,wrasel sea bass,No,No,No,No,Yes,No,No,No,No,No
