Corrected Common Name,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,Total Caught,Total Seasons,,Corrected Common Name,Total Caught
lady crab,1,0,1,0,0,0,0,4,3,2,0,0,11,5,,ctenophore,20
larval fish,0,0,0,0,0,0,0,0,0,0,0,2,2,0,,unidentified flatfish,20
lions mane jellyfish,1,1,2,0,0,0,0,0,0,0,0,0,4,3,,ribbed mussel,18
long clawed hermit crab,0,0,0,0,0,0,0,0,0,0,28,23,51,1,,alewife,17
mantis shrimp,1,0,0,0,0,0,0,0,0,0,0,0,1,1,,skilletfish,15
mole crab,0,0,0,0,0,0,0,0,1,0,0,0,1,1,,oyster toadfish,14
moon jelly,0,0,0,83,1,25,0,0,3,22,20,3,157,6,,striped anchovy,14
mud crab,0,0,0,0,0,2,0,0,2,4,0,0,8,3,,mussel,11
mud snail,0,0,0,0,0,0,0,0,111,32,38,232,413,3,,lady crab,11
mullet fish,0,0,0,0,0,0,0,0,1,0,0,0,1,1,,colonial tunicate,11
mussel,0,0,0,0,0,0,0,0,10,1,0,0,11,2,,cunner,11
naked goby,0,0,0,1,0,0,0,0,1,0,0,0,2,2,,sandworm,10
needlefish,0,0,0,0,0,0,0,0,0,0,0,4,4,0,,white perch,9
northern kingfish,1,0,1,1,0,0,1,0,3,1,0,0,8,6,,horseshoe crab,9
northern pipefish,1,2,10,5,5,1,1,6,7,4,13,13,68,11,,american eel,9
northern puffer,0,0,4,0,1,0,0,0,0,0,0,2,7,2,,mud crab,8
northern sea robin,0,0,1,0,0,0,0,0,1,0,0,0,2,2,,northern kingfish,8
northern seahorse,0,1,0,0,0,0,1,1,0,0,0,0,3,3,,northern puffer,7
northern stargazer,0,0,0,0,1,0,0,0,0,0,0,0,1,1,,spotted hake,6
oyster drill snail,0,0,0,0,0,1,0,1,1,24,0,0,27,4,,comb jelly beroe,6
oyster toadfish,1,0,2,2,2,1,1,0,2,1,0,2,14,8,,glass shrimp,6
periwinkle,0,0,0,0,0,0,0,0,0,0,21,12,33,1,,jelly fish,6
periwinkle snail,0,0,0,0,0,0,0,0,0,0,0,2,2,0,,hydromedusamoon jelly,5
pin fish,0,0,0,0,0,0,0,2,0,0,0,0,2,1,,atlantic herring,5
pollock,0,0,0,0,0,0,0,0,0,0,1,0,1,1,,summer flounder,5
polychaete worm,0,0,0,0,0,0,0,0,0,0,0,2,2,0,,lions mane jellyfish,4
porgy,0,0,0,0,3,0,3,37,13,0,6,3,65,5,,scud,4
red beard sponge,0,0,1,0,0,0,0,0,1,0,0,0,2,2,,box crab,4
ribbed mussel,0,0,0,0,1,0,0,0,0,0,2,15,18,2,,unidentified mussel,4
sand shrimp,1,1,8,0,0,0,5,14,1,48,17,37,132,8,,needlefish,4
sand worm,0,0,0,1,0,0,0,0,0,0,0,0,1,1,,isopod,4
sandworm,0,0,1,0,1,0,0,1,3,2,1,1,10,6,,wrasel sea bass,3
scud,0,0,0,0,0,0,0,4,0,0,0,0,4,1,,northern seahorse,3
sculpin,0,0,0,0,0,0,0,0,0,1,0,0,1,1,,spot,3
sea robin,0,0,0,0,0,0,0,0,2,0,0,0,2,1,,spider crab,3
sea squirt,1,1,0,75,88,1,0,0,0,31,0,0,197,6,,anemone,2
seaboard goby,0,0,0,0,0,0,0,0,1,0,0,0,1,1,,black fingered mud crab,2
sennet,0,0,1,0,0,0,0,0,0,0,0,0,1,1,,unidentified sea snail,2
seven spine shrimp,0,0,0,0,32,0,0,0,0,0,0,0,32,1,,windowpane flounder,2
sheepshead porgy,0,0,0,0,0,0,0,1,0,0,0,0,1,1,,polychaete worm,2
shore shrimp,1,1,7,0,0,7,4,7,15,25,58,55,180,9,,periwinkle snail,2
silver perch,0,0,0,0,1,0,0,0,1,6,4,60,72,4,,western mosquito fish,2
skilletfish,0,0,0,1,1,0,0,0,0,0,4,9,15,3,,larval fish,2
spider crab,0,0,0,1,0,0,0,0,2,0,0,0,3,2,,white mullet,2
spot,0,0,0,0,0,0,0,0,0,0,0,3,3,0,,sea robin,2
spotted hake,0,0,0,0,6,0,0,0,0,0,0,0,6,1,,red beard sponge,2
spotted whiff,0,0,0,0,0,0,0,0,0,1,0,0,1,1,,hydrozoa,2
striped anchovy,0,0,0,0,0,0,0,0,0,0,0,14,14,0,,naked goby,2
striped bass,1,1,7,24,3,2,35,64,16,43,15,8,219,11,,northern sea robin,2
striped burrfish,0,0,0,0,0,0,0,0,0,0,1,0,1,1,,pin fish,2
striped searobin,1,0,0,0,0,0,0,0,0,0,0,0,1,1,,unidentified jelly fish,1
summer flounder,0,0,1,0,0,1,0,1,1,0,0,1,5,4,,unidentified sponge,1
tautog,0,0,0,0,0,0,0,4,1,7,5,12,29,4,,american shad,1
tube worm,0,0,0,1,0,0,0,0,0,0,0,0,1,1,,unidentified snail eggs,1
tunicate,0,0,0,0,1,0,0,8,34,1,0,0,44,4,,white fingered mud crab,1
undetermined jelly,0,0,0,0,0,0,0,0,0,0,0,1,1,0,,whelk snail,1
unidentified fish,0,0,0,0,0,0,0,0,1,0,0,0,1,1,,bluespotted cornetfish,1
unidentified flatfish,0,0,2,6,8,0,2,0,0,0,2,0,20,5,,mantis shrimp,1
unidentified hermit crab,1,1,2,2,3,1,1,8,1,1,10,0,31,11,,unidentified fish,1
unidentified herring,0,0,0,66,8,0,0,0,0,23,4,8,109,4,,undetermined jelly,1
unidentified jelly fish,0,0,1,0,0,0,0,0,0,0,0,0,1,1,,mullet fish,1
unidentified mussel,0,0,0,0,0,0,0,0,1,2,0,1,4,2,,pollock,1
unidentified sea snail,0,0,0,0,0,0,0,2,0,0,0,0,2,1,,sand worm,1
unidentified shrimp,0,0,1,129,26,3,0,0,12,0,0,45,216,5,,sculpin,1
unidentified snail,0,1,2,73,22,1,0,6,0,0,0,0,105,6,,hogchoker,1
unidentified snail eggs,0,0,0,0,0,0,0,0,0,1,0,0,1,1,,seaboard goby,1
unidentified sponge,0,0,0,0,0,0,0,1,0,0,0,0,1,1,,sennet,1
western mosquito fish,0,0,0,0,0,0,0,0,2,0,0,0,2,1,,grubby,1
whelk snail,0,0,0,0,0,0,0,0,1,0,0,0,1,1,,sheepshead porgy,1
white fingered mud crab,0,0,0,0,1,0,0,0,0,0,0,0,1,1,,mole crab,1
white mullet,0,0,0,0,2,0,0,0,0,0,0,0,2,1,,spotted whiff,1
white perch,0,0,0,1,0,0,0,4,0,0,1,3,9,3,,striped burrfish,1
windowpane flounder,0,0,0,0,0,0,1,0,1,0,0,0,2,2,,striped searobin,1
winter flounder,1,0,6,0,0,0,4,9,5,9,4,3,41,7,,tube worm,1
wrasel sea bass,0,0,0,0,3,0,0,0,0,0,0,0,3,1,,clam worm probably nereis spp,1
Total Caught Per Year,17,16,123,1345,664,687,213,1381,1699,921,994,3084,11144,11,,northern stargazer,1
