site_id,url,st,contact,agencies,latitude,longitude,count,geomean,maximum,minimum,id,location_id,site_name,sample_date,specimen_count,specimen_count_int,temperature,salinity,chlorophyll,turbidity,oxygen,rain_day_of,rain_prior_day,rain_2_days_prior,rain_3_days_prior,rain_3_day_total,rain_4_days_prior,rain_5_days_prior,rain_5_day_total,site_type
144.5,https://www.riverkeeper.org/water-quality/hudson-river/albany-rensselaer/dunn-memorial-bridge/,fw,,"Albany County Dept. of Health: 518-447-4580, Rensselear County Dept. of Health: 518-270-2655, and NYSDEC Region 4: 518-357-2045",42.64242,-73.74802,63,65,2420,2,4679,144.5,Dunn Memorial Bridge- Albany,7/16/2016 0:00,31,31,80.8,0.1,1.7,11,91,0,0.1,0.1,0,0.2,0,0,0.2,Hudson
144.5,https://www.riverkeeper.org/water-quality/hudson-river/albany-rensselaer/dunn-memorial-bridge/,fw,,"Albany County Dept. of Health: 518-447-4580, Rensselear County Dept. of Health: 518-270-2655, and NYSDEC Region 4: 518-357-2045",42.64242,-73.74802,63,65,2420,2,4678,144.5,Dunn Memorial Bridge- Albany,6/18/2016 0:00,2,2,73.5,0.1,0.1,18,97,0,0,0,0,0,0,0,0,Hudson
144.5,https://www.riverkeeper.org/water-quality/hudson-river/albany-rensselaer/dunn-memorial-bridge/,fw,,"Albany County Dept. of Health: 518-447-4580, Rensselear County Dept. of Health: 518-270-2655, and NYSDEC Region 4: 518-357-2045",42.64242,-73.74802,63,65,2420,2,4677,144.5,Dunn Memorial Bridge- Albany,5/23/2016 0:00,3,3,63.8,0.1,0.2,25,97,0,0,0,0,0,0,0,0,Hudson
144.5,https://www.riverkeeper.org/water-quality/hudson-river/albany-rensselaer/dunn-memorial-bridge/,fw,,"Albany County Dept. of Health: 518-447-4580, Rensselear County Dept. of Health: 518-270-2655, and NYSDEC Region 4: 518-357-2045",42.64242,-73.74802,63,65,2420,2,4676,144.5,Dunn Memorial Bridge- Albany,10/15/2015 0:00,10,10,65.4,0.1,2.1,7,86,0,0,0,0,0,0,0,0,Hudson
144.5,https://www.riverkeeper.org/water-quality/hudson-river/albany-rensselaer/dunn-memorial-bridge/,fw,,"Albany County Dept. of Health: 518-447-4580, Rensselear County Dept. of Health: 518-270-2655, and NYSDEC Region 4: 518-357-2045",42.64242,-73.74802,63,65,2420,2,4675,144.5,Dunn Memorial Bridge- Albany,9/14/2015 0:00,1300,1300,75.7,0.1,1.5,12,88,0,0.9,1.2,0.1,2.2,0.4,0.1,2.7,Hudson
144.5,https://www.riverkeeper.org/water-quality/hudson-river/albany-rensselaer/dunn-memorial-bridge/,fw,,"Albany County Dept. of Health: 518-447-4580, Rensselear County Dept. of Health: 518-270-2655, and NYSDEC Region 4: 518-357-2045",42.64242,-73.74802,63,65,2420,2,4674,144.5,Dunn Memorial Bridge- Albany,8/15/2015 0:00,6,6,78.8,0.1,2.1,5,94,0.3,0.3,0,0,0.6,1.3,0,1.9,Hudson
144.5,https://www.riverkeeper.org/water-quality/hudson-river/albany-rensselaer/dunn-memorial-bridge/,fw,,"Albany County Dept. of Health: 518-447-4580, Rensselear County Dept. of Health: 518-270-2655, and NYSDEC Region 4: 518-357-2045",42.64242,-73.74802,63,65,2420,2,4673,144.5,Dunn Memorial Bridge- Albany,7/11/2015 0:00,58,58,75.3,0.1,2.2,7,103,0,0,1.2,0,1.2,0.5,0,1.7,Hudson
144.5,https://www.riverkeeper.org/water-quality/hudson-river/albany-rensselaer/dunn-memorial-bridge/,fw,,"Albany County Dept. of Health: 518-447-4580, Rensselear County Dept. of Health: 518-270-2655, and NYSDEC Region 4: 518-357-2045",42.64242,-73.74802,63,65,2420,2,4672,144.5,Dunn Memorial Bridge- Albany,6/13/2015 0:00,980,980,72.5,0.1,1.9,8,100,0,1.3,0,0,1.3,0.6,1,2.9,Hudson
144.5,https://www.riverkeeper.org/water-quality/hudson-river/albany-rensselaer/dunn-memorial-bridge/,fw,,"Albany County Dept. of Health: 518-447-4580, Rensselear County Dept. of Health: 518-270-2655, and NYSDEC Region 4: 518-357-2045",42.64242,-73.74802,63,65,2420,2,4671,144.5,Dunn Memorial Bridge- Albany,5/14/2015 0:00,13,13,66.7,0.1,0.6,14,-99,0,0,0.1,0,0.1,0,0,0.1,Hudson
144.5,https://www.riverkeeper.org/water-quality/hudson-river/albany-rensselaer/dunn-memorial-bridge/,fw,,"Albany County Dept. of Health: 518-447-4580, Rensselear County Dept. of Health: 518-270-2655, and NYSDEC Region 4: 518-357-2045",42.64242,-73.74802,63,65,2420,2,4670,144.5,Dunn Memorial Bridge- Albany,10/16/2014 0:00,128,128,63,0.1,2.1,12,97,0.3,0.1,0,0,0.4,0,0,0.4,Hudson
144.5,https://www.riverkeeper.org/water-quality/hudson-river/albany-rensselaer/dunn-memorial-bridge/,fw,,"Albany County Dept. of Health: 518-447-4580, Rensselear County Dept. of Health: 518-270-2655, and NYSDEC Region 4: 518-357-2045",42.64242,-73.74802,63,65,2420,2,4669,144.5,Dunn Memorial Bridge- Albany,9/10/2014 0:00,36,36,76.9,0.1,0.4,14,90,0,0,0,0,0,0,0,0,Hudson
144.5,https://www.riverkeeper.org/water-quality/hudson-river/albany-rensselaer/dunn-memorial-bridge/,fw,,"Albany County Dept. of Health: 518-447-4580, Rensselear County Dept. of Health: 518-270-2655, and NYSDEC Region 4: 518-357-2045",42.64242,-73.74802,63,65,2420,2,4668,144.5,Dunn Memorial Bridge- Albany,8/14/2014 0:00,25,25,76,0.1,1,6,90,0,0.1,0,0,0.1,0,0,0.1,Hudson
144.5,https://www.riverkeeper.org/water-quality/hudson-river/albany-rensselaer/dunn-memorial-bridge/,fw,,"Albany County Dept. of Health: 518-447-4580, Rensselear County Dept. of Health: 518-270-2655, and NYSDEC Region 4: 518-357-2045",42.64242,-73.74802,63,65,2420,2,4667,144.5,Dunn Memorial Bridge- Albany,7/10/2014 0:00,727,727,75.9,0.1,1.3,75,103,0,1.7,0.4,0.3,2.4,0,0,2.4,Hudson
144.5,https://www.riverkeeper.org/water-quality/hudson-river/albany-rensselaer/dunn-memorial-bridge/,fw,,"Albany County Dept. of Health: 518-447-4580, Rensselear County Dept. of Health: 518-270-2655, and NYSDEC Region 4: 518-357-2045",42.64242,-73.74802,63,65,2420,2,4666,144.5,Dunn Memorial Bridge- Albany,6/15/2014 0:00,1733,1733,67.9,0.1,2.8,95,108,0,0.5,0.5,0.1,1.1,0.3,0,1.4,Hudson
144.5,https://www.riverkeeper.org/water-quality/hudson-river/albany-rensselaer/dunn-memorial-bridge/,fw,,"Albany County Dept. of Health: 518-447-4580, Rensselear County Dept. of Health: 518-270-2655, and NYSDEC Region 4: 518-357-2045",42.64242,-73.74802,63,65,2420,2,4665,144.5,Dunn Memorial Bridge- Albany,5/15/2014 0:00,10,10,62.8,0.1,0.8,11,103,0.1,0.1,0,0,0.2,0,0.1,0.3,Hudson
144.5,https://www.riverkeeper.org/water-quality/hudson-river/albany-rensselaer/dunn-memorial-bridge/,fw,,"Albany County Dept. of Health: 518-447-4580, Rensselear County Dept. of Health: 518-270-2655, and NYSDEC Region 4: 518-357-2045",42.64242,-73.74802,63,65,2420,2,4664,144.5,Dunn Memorial Bridge- Albany,10/21/2013 0:00,134,134,59.8,0.1,1.2,9,98,0,0,0,0.2,0.2,0,0,0.2,Hudson
144.5,https://www.riverkeeper.org/water-quality/hudson-river/albany-rensselaer/dunn-memorial-bridge/,fw,,"Albany County Dept. of Health: 518-447-4580, Rensselear County Dept. of Health: 518-270-2655, and NYSDEC Region 4: 518-357-2045",42.64242,-73.74802,63,65,2420,2,4663,144.5,Dunn Memorial Bridge- Albany,9/21/2013 0:00,46,46,68.6,0.1,2.9,24,99,0,0,0,0,0,0,0.1,0.1,Hudson
144.5,https://www.riverkeeper.org/water-quality/hudson-river/albany-rensselaer/dunn-memorial-bridge/,fw,,"Albany County Dept. of Health: 518-447-4580, Rensselear County Dept. of Health: 518-270-2655, and NYSDEC Region 4: 518-357-2045",42.64242,-73.74802,63,65,2420,2,4662,144.5,Dunn Memorial Bridge- Albany,8/19/2013 0:00,29,29,73.9,0.1,1,23,102,0,0,0,0,0,0,0,0,Hudson
144.5,https://www.riverkeeper.org/water-quality/hudson-river/albany-rensselaer/dunn-memorial-bridge/,fw,,"Albany County Dept. of Health: 518-447-4580, Rensselear County Dept. of Health: 518-270-2655, and NYSDEC Region 4: 518-357-2045",42.64242,-73.74802,63,65,2420,2,4661,144.5,Dunn Memorial Bridge- Albany,7/21/2013 0:00,19,19,81.9,0.1,3.2,20,104,0,0,0,0,0,0,0,0,Hudson
144.5,https://www.riverkeeper.org/water-quality/hudson-river/albany-rensselaer/dunn-memorial-bridge/,fw,,"Albany County Dept. of Health: 518-447-4580, Rensselear County Dept. of Health: 518-270-2655, and NYSDEC Region 4: 518-357-2045",42.64242,-73.74802,63,65,2420,2,4660,144.5,Dunn Memorial Bridge- Albany,6/24/2013 0:00,1553,1553,77.7,0.1,1.5,17,103,1.4,0,0,0,1.4,0,0,1.4,Hudson
144.5,https://www.riverkeeper.org/water-quality/hudson-river/albany-rensselaer/dunn-memorial-bridge/,fw,,"Albany County Dept. of Health: 518-447-4580, Rensselear County Dept. of Health: 518-270-2655, and NYSDEC Region 4: 518-357-2045",42.64242,-73.74802,63,65,2420,2,4659,144.5,Dunn Memorial Bridge- Albany,6/4/2013 0:00,1553,1553,68.6,0.1,0.6,45,100,0,0,1.1,0.1,1.2,0,0.1,1.3,Hudson
144.5,https://www.riverkeeper.org/water-quality/hudson-river/albany-rensselaer/dunn-memorial-bridge/,fw,,"Albany County Dept. of Health: 518-447-4580, Rensselear County Dept. of Health: 518-270-2655, and NYSDEC Region 4: 518-357-2045",42.64242,-73.74802,63,65,2420,2,4658,144.5,Dunn Memorial Bridge- Albany,10/15/2012 0:00,411,411,57.1,0.1,1.2,4,101,0.4,0.5,0,0.1,1,-99,-99,1,Hudson
144.5,https://www.riverkeeper.org/water-quality/hudson-river/albany-rensselaer/dunn-memorial-bridge/,fw,,"Albany County Dept. of Health: 518-447-4580, Rensselear County Dept. of Health: 518-270-2655, and NYSDEC Region 4: 518-357-2045",42.64242,-73.74802,63,65,2420,2,4657,144.5,Dunn Memorial Bridge- Albany,9/15/2012 0:00,211,211,72.9,0.1,1.1,4,100,0.1,0,0,0,0.1,-99,-99,0.1,Hudson
144.5,https://www.riverkeeper.org/water-quality/hudson-river/albany-rensselaer/dunn-memorial-bridge/,fw,,"Albany County Dept. of Health: 518-447-4580, Rensselear County Dept. of Health: 518-270-2655, and NYSDEC Region 4: 518-357-2045",42.64242,-73.74802,63,65,2420,2,4656,144.5,Dunn Memorial Bridge- Albany,8/18/2012 0:00,17,17,80.4,0.2,1.5,5,99,0,0.1,0,0.2,0.3,-99,-99,0.3,Hudson
144.5,https://www.riverkeeper.org/water-quality/hudson-river/albany-rensselaer/dunn-memorial-bridge/,fw,,"Albany County Dept. of Health: 518-447-4580, Rensselear County Dept. of Health: 518-270-2655, and NYSDEC Region 4: 518-357-2045",42.64242,-73.74802,63,65,2420,2,4655,144.5,Dunn Memorial Bridge- Albany,7/21/2012 0:00,3,3,83.2,0.2,5.7,7,104,0,0,0,0.2,0.2,-99,-99,0.2,Hudson
144.5,https://www.riverkeeper.org/water-quality/hudson-river/albany-rensselaer/dunn-memorial-bridge/,fw,,"Albany County Dept. of Health: 518-447-4580, Rensselear County Dept. of Health: 518-270-2655, and NYSDEC Region 4: 518-357-2045",42.64242,-73.74802,63,65,2420,2,4654,144.5,Dunn Memorial Bridge- Albany,6/16/2012 0:00,17,17,74.2,0.1,1.7,13,105,0,0,0,0.2,0.2,-99,-99,0.2,Hudson
144.5,https://www.riverkeeper.org/water-quality/hudson-river/albany-rensselaer/dunn-memorial-bridge/,fw,,"Albany County Dept. of Health: 518-447-4580, Rensselear County Dept. of Health: 518-270-2655, and NYSDEC Region 4: 518-357-2045",42.64242,-73.74802,63,65,2420,2,4653,144.5,Dunn Memorial Bridge- Albany,5/20/2012 0:00,187,187,67.4,0.1,0.6,17,102,0,0,0,0,0,-99,-99,0,Hudson
144.5,https://www.riverkeeper.org/water-quality/hudson-river/albany-rensselaer/dunn-memorial-bridge/,fw,,"Albany County Dept. of Health: 518-447-4580, Rensselear County Dept. of Health: 518-270-2655, and NYSDEC Region 4: 518-357-2045",42.64242,-73.74802,63,65,2420,2,4652,144.5,Dunn Memorial Bridge- Albany,10/16/2011 0:00,>2420,2420,60,0.1,1.1,59,102,0,0.1,1.1,0.3,1.5,-99,-99,1.5,Hudson
144.5,https://www.riverkeeper.org/water-quality/hudson-river/albany-rensselaer/dunn-memorial-bridge/,fw,,"Albany County Dept. of Health: 518-447-4580, Rensselear County Dept. of Health: 518-270-2655, and NYSDEC Region 4: 518-357-2045",42.64242,-73.74802,63,65,2420,2,4651,144.5,Dunn Memorial Bridge- Albany,9/19/2011 0:00,687,687,64.9,0.1,0.8,32,102,0,0,0,0.1,0.1,-99,-99,0.1,Hudson
144.5,https://www.riverkeeper.org/water-quality/hudson-river/albany-rensselaer/dunn-memorial-bridge/,fw,,"Albany County Dept. of Health: 518-447-4580, Rensselear County Dept. of Health: 518-270-2655, and NYSDEC Region 4: 518-357-2045",42.64242,-73.74802,63,65,2420,2,4650,144.5,Dunn Memorial Bridge- Albany,8/21/2011 0:00,34,34,76.6,0.1,1.7,50,94,0.4,0,0,0,0.4,-99,-99,0.4,Hudson
144.5,https://www.riverkeeper.org/water-quality/hudson-river/albany-rensselaer/dunn-memorial-bridge/,fw,,"Albany County Dept. of Health: 518-447-4580, Rensselear County Dept. of Health: 518-270-2655, and NYSDEC Region 4: 518-357-2045",42.64242,-73.74802,63,65,2420,2,4649,144.5,Dunn Memorial Bridge- Albany,7/14/2011 0:00,76,76,78.8,0.1,4.3,9,50,0,0.3,0,0,0.3,-99,-99,0.3,Hudson
144.5,https://www.riverkeeper.org/water-quality/hudson-river/albany-rensselaer/dunn-memorial-bridge/,fw,,"Albany County Dept. of Health: 518-447-4580, Rensselear County Dept. of Health: 518-270-2655, and NYSDEC Region 4: 518-357-2045",42.64242,-73.74802,63,65,2420,2,4648,144.5,Dunn Memorial Bridge- Albany,7/2/2011 0:00,84,84,73.5,0.1,0.6,7,-99,0,0,1,1.1,2.1,-99,-99,2.1,Hudson
144.5,https://www.riverkeeper.org/water-quality/hudson-river/albany-rensselaer/dunn-memorial-bridge/,fw,,"Albany County Dept. of Health: 518-447-4580, Rensselear County Dept. of Health: 518-270-2655, and NYSDEC Region 4: 518-357-2045",42.64242,-73.74802,63,65,2420,2,4647,144.5,Dunn Memorial Bridge- Albany,5/19/2011 0:00,770,770,-99,-99,-99,-99,-99,0.8,0.2,0.1,0.5,1.6,-99,-99,1.6,Hudson
144.5,https://www.riverkeeper.org/water-quality/hudson-river/albany-rensselaer/dunn-memorial-bridge/,fw,,"Albany County Dept. of Health: 518-447-4580, Rensselear County Dept. of Health: 518-270-2655, and NYSDEC Region 4: 518-357-2045",42.64242,-73.74802,63,65,2420,2,4646,144.5,Dunn Memorial Bridge- Albany,10/16/2010 0:00,488,488,54.6,0.1,0.4,28,101,0,1,0.3,0,1.3,-99,-99,1.3,Hudson
144.5,https://www.riverkeeper.org/water-quality/hudson-river/albany-rensselaer/dunn-memorial-bridge/,fw,,"Albany County Dept. of Health: 518-447-4580, Rensselear County Dept. of Health: 518-270-2655, and NYSDEC Region 4: 518-357-2045",42.64242,-73.74802,63,65,2420,2,4645,144.5,Dunn Memorial Bridge- Albany,9/14/2010 0:00,88,88,69.7,0.1,4,4,93,0,0,0,0,0,-99,-99,0,Hudson
144.5,https://www.riverkeeper.org/water-quality/hudson-river/albany-rensselaer/dunn-memorial-bridge/,fw,,"Albany County Dept. of Health: 518-447-4580, Rensselear County Dept. of Health: 518-270-2655, and NYSDEC Region 4: 518-357-2045",42.64242,-73.74802,63,65,2420,2,4644,144.5,Dunn Memorial Bridge- Albany,8/23/2010 0:00,488,488,-99,-99,-99,-99,-99,0.1,0.4,0,0.1,0.6,-99,-99,0.6,Hudson
144.5,https://www.riverkeeper.org/water-quality/hudson-river/albany-rensselaer/dunn-memorial-bridge/,fw,,"Albany County Dept. of Health: 518-447-4580, Rensselear County Dept. of Health: 518-270-2655, and NYSDEC Region 4: 518-357-2045",42.64242,-73.74802,63,65,2420,2,4643,144.5,Dunn Memorial Bridge- Albany,8/21/2010 0:00,25,25,78.3,0.1,1.8,-99,93,0,0.1,0.1,0,0.2,-99,-99,0.2,Hudson
144.5,https://www.riverkeeper.org/water-quality/hudson-river/albany-rensselaer/dunn-memorial-bridge/,fw,,"Albany County Dept. of Health: 518-447-4580, Rensselear County Dept. of Health: 518-270-2655, and NYSDEC Region 4: 518-357-2045",42.64242,-73.74802,63,65,2420,2,4642,144.5,Dunn Memorial Bridge- Albany,7/19/2010 0:00,179,179,82.1,0.1,3.2,3,83,0,0.2,0.5,0,0.7,-99,-99,0.7,Hudson
144.5,https://www.riverkeeper.org/water-quality/hudson-river/albany-rensselaer/dunn-memorial-bridge/,fw,,"Albany County Dept. of Health: 518-447-4580, Rensselear County Dept. of Health: 518-270-2655, and NYSDEC Region 4: 518-357-2045",42.64242,-73.74802,63,65,2420,2,4641,144.5,Dunn Memorial Bridge- Albany,6/18/2010 0:00,135,135,70.1,0.1,2.9,6,96,0,0,0.2,0,0.2,-99,-99,0.2,Hudson
144.5,https://www.riverkeeper.org/water-quality/hudson-river/albany-rensselaer/dunn-memorial-bridge/,fw,,"Albany County Dept. of Health: 518-447-4580, Rensselear County Dept. of Health: 518-270-2655, and NYSDEC Region 4: 518-357-2045",42.64242,-73.74802,63,65,2420,2,4640,144.5,Dunn Memorial Bridge- Albany,5/25/2010 0:00,980,980,71.7,0.1,4.1,233,98,0,0,0,0,0,-99,-99,0,Hudson
144.5,https://www.riverkeeper.org/water-quality/hudson-river/albany-rensselaer/dunn-memorial-bridge/,fw,,"Albany County Dept. of Health: 518-447-4580, Rensselear County Dept. of Health: 518-270-2655, and NYSDEC Region 4: 518-357-2045",42.64242,-73.74802,63,65,2420,2,4639,144.5,Dunn Memorial Bridge- Albany,10/23/2009 0:00,49,49,51,0.1,0.3,23,99,0,0,0,0,0,-99,-99,0,Hudson
144.5,https://www.riverkeeper.org/water-quality/hudson-river/albany-rensselaer/dunn-memorial-bridge/,fw,,"Albany County Dept. of Health: 518-447-4580, Rensselear County Dept. of Health: 518-270-2655, and NYSDEC Region 4: 518-357-2045",42.64242,-73.74802,63,65,2420,2,4638,144.5,Dunn Memorial Bridge- Albany,9/17/2009 0:00,43,43,69.9,0.1,2.1,4,98,0,0,0,0,0,-99,-99,0,Hudson
144.5,https://www.riverkeeper.org/water-quality/hudson-river/albany-rensselaer/dunn-memorial-bridge/,fw,,"Albany County Dept. of Health: 518-447-4580, Rensselear County Dept. of Health: 518-270-2655, and NYSDEC Region 4: 518-357-2045",42.64242,-73.74802,63,65,2420,2,4637,144.5,Dunn Memorial Bridge- Albany,8/24/2009 0:00,76,76,77.9,0.1,1.6,63,100,0,0.3,1,1.5,2.8,-99,-99,2.8,Hudson
144.5,https://www.riverkeeper.org/water-quality/hudson-river/albany-rensselaer/dunn-memorial-bridge/,fw,,"Albany County Dept. of Health: 518-447-4580, Rensselear County Dept. of Health: 518-270-2655, and NYSDEC Region 4: 518-357-2045",42.64242,-73.74802,63,65,2420,2,4636,144.5,Dunn Memorial Bridge- Albany,7/31/2009 0:00,>2420,2420,73.1,0.1,2.2,19,101,0.6,0.3,1,0,1.9,-99,-99,1.9,Hudson
144.5,https://www.riverkeeper.org/water-quality/hudson-river/albany-rensselaer/dunn-memorial-bridge/,fw,,"Albany County Dept. of Health: 518-447-4580, Rensselear County Dept. of Health: 518-270-2655, and NYSDEC Region 4: 518-357-2045",42.64242,-73.74802,63,65,2420,2,4635,144.5,Dunn Memorial Bridge- Albany,6/13/2009 0:00,32,32,-99,-99,-99,-99,-99,0,0.3,0.3,0,0.6,-99,-99,0.6,Hudson
144.5,https://www.riverkeeper.org/water-quality/hudson-river/albany-rensselaer/dunn-memorial-bridge/,fw,,"Albany County Dept. of Health: 518-447-4580, Rensselear County Dept. of Health: 518-270-2655, and NYSDEC Region 4: 518-357-2045",42.64242,-73.74802,63,65,2420,2,4634,144.5,Dunn Memorial Bridge- Albany,5/16/2009 0:00,84,84,62.4,0.1,0.7,7,102,0,0,0.5,0,0.5,-99,-99,0.5,Hudson
144.5,https://www.riverkeeper.org/water-quality/hudson-river/albany-rensselaer/dunn-memorial-bridge/,fw,,"Albany County Dept. of Health: 518-447-4580, Rensselear County Dept. of Health: 518-270-2655, and NYSDEC Region 4: 518-357-2045",42.64242,-73.74802,63,65,2420,2,4633,144.5,Dunn Memorial Bridge- Albany,5/15/2009 0:00,88,88,61.7,-99,0.9,6,104,0,0.5,0,0,0.5,-99,-99,0.5,Hudson
144.5,https://www.riverkeeper.org/water-quality/hudson-river/albany-rensselaer/dunn-memorial-bridge/,fw,,"Albany County Dept. of Health: 518-447-4580, Rensselear County Dept. of Health: 518-270-2655, and NYSDEC Region 4: 518-357-2045",42.64242,-73.74802,63,65,2420,2,4632,144.5,Dunn Memorial Bridge- Albany,10/23/2008 0:00,10,10,53.6,0.1,1.2,5,94,0,0.2,0.1,0,0.3,-99,-99,0.3,Hudson
144.5,https://www.riverkeeper.org/water-quality/hudson-river/albany-rensselaer/dunn-memorial-bridge/,fw,,"Albany County Dept. of Health: 518-447-4580, Rensselear County Dept. of Health: 518-270-2655, and NYSDEC Region 4: 518-357-2045",42.64242,-73.74802,63,65,2420,2,4631,144.5,Dunn Memorial Bridge- Albany,9/18/2008 0:00,50,50,-99,-99,-99,-99,-99,0,0,0,0,0,-99,-99,0,Hudson
144.5,https://www.riverkeeper.org/water-quality/hudson-river/albany-rensselaer/dunn-memorial-bridge/,fw,,"Albany County Dept. of Health: 518-447-4580, Rensselear County Dept. of Health: 518-270-2655, and NYSDEC Region 4: 518-357-2045",42.64242,-73.74802,63,65,2420,2,4630,144.5,Dunn Memorial Bridge- Albany,8/9/2008 0:00,20,20,-99,-99,-99,-99,-99,0,0,1.3,0.2,1.5,-99,-99,1.5,Hudson
144.5,https://www.riverkeeper.org/water-quality/hudson-river/albany-rensselaer/dunn-memorial-bridge/,fw,,"Albany County Dept. of Health: 518-447-4580, Rensselear County Dept. of Health: 518-270-2655, and NYSDEC Region 4: 518-357-2045",42.64242,-73.74802,63,65,2420,2,4629,144.5,Dunn Memorial Bridge- Albany,7/17/2008 0:00,6,6,80,0.1,2.9,17,104,0,0,0,0.1,0.1,-99,-99,0.1,Hudson
